"game_lang_code","context","EN","DE","FR","IT","ES","RU","JP","PB","CN"
"And I've sent a workforce ahead to help out with your mission on the surface.","Carl the ant","And I've sent a workforce ahead to help out with your mission on the surface.","Und ich habe eine Abteilung zur Oberfläche entsandt, um bei deiner Mission zu assistieren.","J'ai aussi envoyé des ouvrières pour t'aider dans ta mission à la surface.","Ho già mandato una squadra per aiutarti con la tua missione in superficie.","Eta lantalde bat eratu dut lurrazaleko zure egitekoan lagun zaitzaten.","Я выделила рабсилу, которая поможет тебе в экспедиции на поверхности.","そして 地上での きみのミッションを たすけるため さぎょうチームを はけんした。","Enviei uma equipe para ajudá-la na sua missão na superfície.","而且我已经派出了很多蚁力去地面帮你完成任务。"
"They'll have that balloon up and flying before you know it!","Carl the ant","They'll have that balloon up and flying before you know it!","Die bringen den Ballon im Nullkommanix zum Fliegen!","Elles vont remettre cette montgolfière en état en moins de deux !","Rimetteranno in sesto quella mongolfiera in men che non si dica!","Konturatu orduko globo hori airean hegan jarriko dute!","Не успеешь и глазом моргнуть, как воздушный шар уже будет в небе!","あの飛行船（ひこうせん）も すぐに とべるはずだ！","Eles vão colocar aquele balão no ar num piscar de olhos!","他们很快就能把那个气球组装好并且让它飞起来！"
"Dismissed!","Carl the ant","Dismissed!","Wegtreten!","Rompez !","Sei congedata!","Joan zaitezke!","Разойдись!","では、かいさん！","Dispensada!","解散！"
"Our workers are waiting for you at Moth's tree.","Carl the ant","Our workers are waiting for you at Moth's tree.","Unsere Arbeiterinnen warten auf dich an Mottes Baum.","Nos ouvrières t'attendent à l'Arbre de la mite.","Le nostre operaie ti aspettano all'albero della falena.","Gure langileak Sitsaren zuhaitzean dituzu zain.","Наши работницы ждут тебя у дерева мотылька.","はたらきアリたちが ガの木で きみを まっているぞ。","Nossas operárias estão esperando na árvore da Mariposa.","我们的工人们正在飞蛾的树上等你。"
"Oi! Watch where you're moving that!","Generic ant","Oi! Watch where you're moving that!","Ey! Pass auf, wo du die hinbringst!","Hé ! Ne les bouge pas n'importe où !","Ehi! Bada a dove vai con quell'affare!","Txo! Kontuz hori nora daramazun!","Эй! Смотри, куда несешь!","おい！　へたに うごかすなよ！","Ô! Cuidado com isso aí!","喂！看看你把它往哪儿放呢！"
"That's still way too hot for me to deliver.","Generic ant","That's still way too hot for me to deliver.","Die sind immer noch zu heiß, um sie auszuliefern.","Elles sont encore bien trop chaudes pour que je puisse les emporter.","Così è ancora troppo rovente per la consegna.","Hori oraindik beroegi dago nik entregatzeko.","Металл все еще слишком горячий.","そのパーツは まだアツアツで、のうひんできないんだ。","Ainda tá quente demais pra eu entregar.","它太烫了，我没法运送。"
"Go quench it in the vat over there.","Generic ant","Go quench it in the vat over there.","Kühle sie in dem Fass dort ab.","Va les tremper dans la cuve, là-bas.","Aiutati con quella vasca di raffreddamento.","Sar ezazu horko andel horretan itzal dadin.","Охлади их вон в той емкости.","そっちの バットで ひやしてくれないか。","Mergulhe isso naquele recipiente ali.","把它放到那个池子里冷却一下。"
"You'll have to go reconnect the water supply so we can get a good quench in here.","Generic ant","You'll have to go reconnect the water supply so we can get a good quench in here.","Du musst das Wasser anschließen, damit wir hier alles wieder gut abkühlen können.","Tu vas devoir reconnecter l'alimentation en eau pour pouvoir le tremper comme il faut.","Devi andare a riattaccare l'acqua, così possiamo usare la vasca di raffreddamento.","Ur-emaria birkonektatu beharko duzu forjatutako piezak itzali ahal izateko.","Чтобы охладить метал, сперва надо подсоединить водопровод.","でもその前に、水のきょうきゅうラインを つなぎなおさないと、じゅうぶんに ひやせない。","Você precisa reconectar o suprimento de água para resfriar a peça.","你要去重新连接供水系统，这样我们才可以在这里进行冷却。"
"G'day, Comrade!","Generic ant","G'day, Comrade!","Guten Tag, Genossin!","Bien le bonjour, camarade !","'giorno, compagna!","Egun on, burkide!","Добрый день, товарищ!","やあ、同志（どうし）！","Dia, camarada!","你好，同志！"
"The fuel lines are running dry right now.","Generic ant","The fuel lines are running dry right now.","Der Treibstoff fließt nicht mehr richtig.","Les conduites de carburant sont en train de s'assécher.","Al momento i tubi del combustibile sono a secco.","Ez dator erregai tantarik hodietatik une honetan.","В трубах нет топлива.","ねんりょうラインが ひあがってる。","Os canos de combustível estão completamente secos.","现在燃料管已经干涸了。"
"You'll have to get the pumps reconnected before we can do any heat treatment.","Generic ant","You'll have to get the pumps reconnected before we can do any heat treatment.","Du musst die Pumpen wieder anschließen, ehe wir mit der Hitzebehandlung anfangen können.","Tu vas devoir reconnecter les pompes avant qu'on puisse faire un traitement thermique.","Le pompe devono essere ricollegate per poter fare il trattamento termico.","Ponpak birkonektatu beharko dituzu bero-tratamenduren bat egin aurretik.","Подсоедини насосы, чтобы мы могли заняться термической обработкой.","ねつしょりの前に ポンプを つなぎなおさないと。","Vai precisar reconectar as bombas se quiser realizar o tratamento térmico.","你得先把泵重新连接好，这样我们才能进行高温处理。"
"Head over to the pipeworks.","Generic ant","Head over to the pipeworks.","Geh rüber zu den Rohrleitungen.","Rejoins la tuyauterie.","Vai alle tubazioni.","Zoaz hoditeriaren gelara.","Отправляйся к трубопроводу.","はいかん さぎょうじょへ むかってくれ。","Vá até as tubulações.","到管道系统去。"
"The oven's all heated up for us.","Generic ant","The oven's all heated up for us.","Der Ofen ist schon heiß.","Le four est préchauffé.","La forgia è tutta un fuoco.","Labea gori-gori dago guretzako prest.","Температура уже подходящая.","炉（ろ）が アツアツになったぞ。","Agora, a fornalha tá aquecida.","炉子已经加热好了。"
"Can you lend us a web to send these mandibles through the forge?","Generic ant","Can you lend us a web to send these mandibles through the forge?","Kannst du ein Netz für uns machen, damit die Mandibeln die Schmiede durchlaufen können?","Tu peux nous filer un coup de toile pour envoyer ces mandibules à la forge ?","Ci aiuteresti a far passare queste mandibole attraverso la forgia?","Utziko diguzu amaraun pixka bat barailak forjatik igarotzeko?","Одолжишь нам немного паутины, чтобы отправить эти жвалы в кузнечный горн?","あごパーツを しょりするのに きみの糸を かしてくれないか？","Pode usar a sua teia pra passar essas mandíbulas pela forja?","你能帮我们织个网，以便我们把颚部运经锻造室吗？"
"Oh, sorry!","Generic ant","Oh, sorry!","Oh, Verzeihung!","Ah, désolée !","Oh, scusa!","O, barkatu!","Ой, извини!","おっと すまない！","Opa, foi mal!","啊，抱歉！"
"That leg isn't complete yet.","Generic ant","That leg isn't complete yet.","Das Bein ist noch nicht fertig.","Cette patte n'est pas encore terminée.","Quella zampa è ancora da finire.","Hanka hori oraindik bukatu gabe dago.","Эта нога еще не готова.","その足は まだ できあがりじゃないんだ。","Essa perna ainda não tá pronta.","这条腿还没完成呢。"
"You'll have to attach the thigh to the shin up there before I can deliver it.","Generic ant","You'll have to attach the thigh to the shin up there before I can deliver it.","Du musst erst den Schenkel mit dem Schienbein verbinden, ehe ich es ausliefern kann.","Il va falloir que tu fixes cette cuisse au tibia là-haut pour que je puisse l'apporter.","Devi collegare la coscia alla tibia, perché sia pronta.","Izterra han goiko bernazakiarekin lotu beharko duzu entregatu ahal izateko.","Прикрепи бедро к голени, чтобы я могла ее закончить.","ふとももを あそこのスネに つなげないと、のうひん できない。","Você precisa anexar a coxa naquela canela antes para que eu possa finalizá-la.","你要先把大腿跟上面的小腿组装起来，然后我才能运送。"
"Hey fellow engineer!","Vlad the ant","Hey fellow engineer!","Hallo, Pioniergenossin!","Bonjour, camarade ingénieure !","Ehilà, compagna geniera!","Ei, lagun ingeniaria!","Привет, коллега!","やあ！　同志（どうし）たる エンジニアよ！","Saudações, colega engenheira!","你好啊，工程师同事！"
"I'm Vlad, your airship mechanic!","Vlad the ant","I'm Vlad, your airship mechanic!","Ich bin Vlad, die Luftschiffmechanikerin!","Je suis Vlad, la machiniste assignée à ton aéronef !","Sono Vlad, il tuo meccanico di bordo!","Vlad naiz, zure aireontziko mekanikaria!","Я Влад, твой механик!","わたしはヴラド。きみの飛行船（ひこうせん）メカニックだ！","Eu sou Vlad, o mecânico de balões!","我是弗拉基，你的飞艇技术员！"
"We're almost ready for the trip of a lifetime!","Vlad the ant","We're almost ready for the trip of a lifetime!","Wir sind fast bereit für die große Reise!","Nous sommes bientôt prêtes à partir pour le grand voyage !","Siamo ormai pronti per la grande avventura!","Ia prest gaude gure biziko bidaiari ekiteko!","Мы почти готовы к грандиозному путешествию!","さいこうの たびの したくが もう少しで ととのうぞ！","Estamos quase prontos para a viagem das nossas vidas!","我们差不多已经准备好进行这场一生难见的旅行了！"
"Here, take these blueprints. We've got lots to do!","Vlad the ant","Here, take these blueprints. We've got lots to do!","Hier, nimm diese Baupläne. Wir haben viel zu tun!","Les plans sont là. On a du pain sur la planche !","Tieni, prendi questi progetti. Abbiamo molto da fare!","Tori, hartu plano hauek. Asko dago egiteko!","Вот, держи чертежи. У нас много работы!","こちらは せっけい図だ。やることは たくさん あるからな！","Aqui, toma esses diagramas. Temos muito trabalho pela frente!","给，拿着这些蓝图。我们还有好多工作要做呢！"
"Here's the rest of our preflight checklist:","Vlad the ant","Here's the rest of our preflight checklist:","Hier ist der Rest der Checkliste für den Start:","Voici le reste de la liste de choses à vérifier avant le vol :","Ecco la lista delle cose da fare prima di partire:","Hau da hegaldia baino lehen egin beharrekoen zerrenda:","А это наш предполетный список задач:","りりく前チェックリストを見て おわっていない しごとを かくにんしよう。","E aqui está tudo que precisamos fazer para levantar voo:","这些是我们剩下的飞行前检查项："
" - Find a way to patch up the balloon.","Vlad the ant"," - Find a way to patch up the balloon."," – Flicke die Löcher im Ballon."," - Trouver un moyen de rafistoler le ballon."," - Trova un modo per rattoppare la mongolfiera."," - Bilatu globoko zuloak konpontzeko eraren bat."," - Придумать, как залатать воздушный шар."," - 飛行船（ひこうせん）を きみつじょうたい にする ほうほうを さがす。"," - Encontre uma forma de remendar o balão."," - 想办法修补好气球。"
"I heard the bees to the East might be able to help with that.","Vlad the ant","I heard the bees to the East might be able to help with that.","Damit können uns angeblich die Bienen im Osten helfen.","J'ai entendu dire que les abeilles à l'Est pourraient nous aider à ce sujet.","Mi hanno detto che le api a est potrebbero darci una mano.","Entzun dut Ekialdeko erleak lagungarri izan daitezkeela horretan.","Я слышала, что нам могут помочь пчелы, которые живут к востоку отсюда.","これは、東のハチが力になってくれるかも しれないな。","Ouvi dizer que as abelhas do Leste podem nos ajudar com isso.","我听说住在东边的蜜蜂们可以帮忙完成。"
" - Talk to the princess about sealing up the balloon.","Vlad the ant"," - Talk to the princess about sealing up the balloon."," – Rede mit der Prinzessin über die Versiegelung des Ballons."," - Parler à la princesse pour fermer le ballon de la montgolfière."," - Chiedi aiuto alla principessa per riparare la mongolfiera."," - Hitz egin printzesarekin, globo konpontzeko."," - Поговорить с принцессой о заплатке для воздушного шара."," - ハチの王女に飛行船（ひこうせん）の きみつか について そうだんする。"," - Fale com a princesa sobre remendar o balão."," - 跟公主蜂谈谈修补气球的事。"
" - Find a fuel source. Some good, concentrated dung would work.","Vlad the ant"," - Find a fuel source. Some good, concentrated dung would work."," – Finde eine Treibstoffquelle. Hochwertiger, konzentrierter Mist wäre ideal."," - Trouver un carburant. De la bouse bien concentrée devrait faire l'affaire."," - Trova una fonte di carburante, come dello sterco concentrato."," - Bilatu erregai-iturri bat. Kalitatezko gorotz kontzentratuak balio beharko luke."," - Найти топливо. Хороший концентрированный навоз должен подойти."," - ねんりょうを見つける。じょうとうで ぎょうしゅくされた フンがよい。"," - Encontre uma fonte de combustível. Uma boa dose de esterco concentrado deve funcionar."," - 找到燃料源。一些高质量的浓缩粪便就可以。"
"See if you can find some to the West.","Vlad the ant","See if you can find some to the West.","Schau mal, ob du im Westen welchen findest.","Va voir vers l'Ouest voir si tu en trouves.","Vedi se riesci a trovare qualcosa a ovest.","Begiratu ea Mendebaldean ezer aurkitzen duzun.","Попробуй поискать его на западе.","これは西のほうで さがせそうだ。","Veja se consegue encontrar um pouco a oeste.","看看能不能在西边找到一些。"
" - Attach engine immediately below the mouth of the balloon.","Vlad the ant"," - Attach engine immediately below the mouth of the balloon."," – Bringe den Motor unmittelbar unter der Öffnung des Ballons an."," - Fixer le moteur juste en dessous de l'ouverture du ballon."," - Collega il motore appena sotto la bocca del pallone."," - Erantsi motorra globoaren azpialdeko ahora."," - Установить двигатель непосредственно под отверстием воздушного шара."," - 飛行船（ひこうせん）のガスぶくろ開口部（かいこうぶ）にエンジンを つける。"," - Posicione o motor logo abaixo da boca do balão."," - 把引擎连接在气球开口的正下方。"
" - Load a ball of dung into the engine.","Vlad the ant"," - Load a ball of dung into the engine."," – Lade einen Mistklumpen in den Motor."," - Charger une boule de bouse dans le moteur."," - Carica una palla di sterco nel motore."," - Kargatu gorotz-bola bat motorrera."," - Загрузить шарик навоза в двигатель."," - エンジンに フンの玉を そうてんする。"," - Alimente o motor com uma bola de esterco."," - 把粪球装在引擎里。"
" - Firmly secure pilot platform to balloon.","Vlad the ant"," - Firmly secure pilot platform to balloon."," – Befestige die Pilotenplattform sicher am Ballon."," - Sécuriser la fixation de la plateforme de pilotage sur la montgolfière."," - Assicura la piattaforma di pilotaggio al pallone."," - Lotu pilotatzeko plataforma gogorki globora."," - Надежно закрепить площадку для пилота."," - そうじゅうプラットフォームを飛行船（ひこうせん）に こていする。"," - Fixe firmemente a plataforma de pilotagem ao balão."," - 把驾驶台牢固地连接在气球上。"
"Just follow the blueprints, and come see me when it's all together.","Vlad the ant","Just follow the blueprints, and come see me when it's all together.","Halte dich einfach an die Baupläne und melde dich bei mir, wenn alles fertig ist.","Contente-toi de suivre les plans, et reviens me voir quand tout sera assemblé.","Segui i progetti e poi torna da me quando è tutto in ordine.","Jarraitu planoetako argibideak, eta jakinaraz nazazu guztia lotuta egotean.","Просто делай все по чертежам и приходи, когда закончишь.","とにかく せっけい図にそって すすめよう。じゅんびができたら声をかけてくれ。","É só seguir os diagramas. Quando estiver tudo pronto, venha falar comigo.","照着蓝图的说明办，都完成后来见我。"
"Oh, and if you run into any trouble, just shoot the work bell and we'll reset everything for you!","Vlad the ant","Oh, and if you run into any trouble, just shoot the work bell and we'll reset everything for you!","Oh, und wenn du Probleme hast, betätige einfach die Arbeitsglocke und wir setzen alles für dich zurück.","Oh, et si tu rencontres des problèmes, fais sonner la cloche de travail et on recommencera tout à zéro !","Ah, se dovessi combinare qualche guaio, suona la campanella e faremo tornare tutto com'era prima!","O, eta arazorik baduzu, jo laneko kanpaia eta guztia lehengo egoerara bueltatuko dugu!","Да, если у тебя возникнут проблемы, позвони в колокольчик — и мы приведем все в первоначальный вид!","なにかトラブルがおきたら、ベルを鳴らしてくれ。こっちで ぜんぶリセットするからね！","Ah, e se tiver qualquer problema, é só tocar o sino que reiniciamos tudo pra você!","对了，如果你碰到了麻烦，就敲响那个工作钟，我们会帮你重置一切！"
"Looks like the airship is ready to launch!","Vlad the ant","Looks like the airship is ready to launch!","Das Luftschiff scheint startklar zu sein!","Je crois bien que notre aéronef est prêt à décoller !","Sembra che la mongolfiera sia pronta a decollare!","Badirudi aireontzia aireratzeko prest dagoela!","Воздушный корабль готов к запуску!","飛行船（ひこうせん）が とばせそうだな！","Parece que o balão tá pronto pra decolar!","看起来飞艇准备好升空了！"
"Are you ready to head out? It might be a while before we can return.","Vlad the ant","Are you ready to head out? It might be a while before we can return.","Bist du bereit, aufzubrechen? Es könnte eine Weile dauern, bis eine Rückkehr möglich ist.","Tu es prête à partir ? Nous ne pourrons peut-être pas revenir avant un bout de temps.","Sei pronta a partire? Potremmo non tornare per molto tempo.","Abiatzeko prest zaude? Denboraldi bat emango dugu kanpoan.","Ты готова к полету? Нам предстоит долгий путь.","じゅんびはいいか？　いちど しゅっぱつしたら しばらく帰れないぞ。","Está pronta? Lembre-se de que, uma vez que partirmos, não vamos poder voltar tão cedo.","你准备好出发了吗？我们短时间内可是回不来了。"
"No worries. Come see me again when you're ready.","Vlad the ant","No worries. Come see me again when you're ready.","Keine Sorge. Komm wieder vorbei, wenn du so weit bist.","Pas de souci. Reviens me voir quand tu seras prête.","Va bene. Torna qui da me, quando sei pronta.","Lasai. Zatoz nigana abiatzeko prest egotean.","Ничего. Приходи, когда будешь готова.","だいじょうぶ。じゅんびができたら また来てくれ。","Sem problemas! É só vir falar comigo quando estiver pronta.","没问题。等你准备好了再来找我吧。"
"Alright Comrade.","Vlad the ant","Alright Comrade.","Alles klar, Genossin.","Entendu, camarade.","D'accordo, compagna.","Ados, burkide.","Так, товарищ.","では行くぞ、同志（どうし）。","Muito bem, camarada.","好了，同志。"
"Engine ignition in Three...","Vlad the ant","Engine ignition in Three...","Zündung in drei …","Mise à feu du moteur dans trois...","Accensione motori in tre...","Aireratzeko Hiru...","Запускаем двигатель. Три...","エンジンてんか まで 3……","Ignição do motor em três…","引擎点火倒计时，三……"
"Two...","Vlad the ant","Two...","Zwei …","Deux...","Due...","Bi...","Два...","2……","Dois…","二……"
"One!","Vlad the ant","One!","Eins!","Un !","Uno!","Bat!","Один!","1！","Um!","一！"
"Huh... that launch didn't quite work as expected...","Vlad the ant","Huh... that launch didn't quite work as expected...","Hmm … Den Start hatte ich mir aber anders vorgestellt.","Euh... Ce décollage ne s'est pas vraiment déroulé comme prévu...","Oh... la partenza non è andata proprio benissimo...","Hara... aireratze hau ez da espero bezala joan...","Эх... запуск пошел не совсем по плану...","ふむ……うまく りりく できなかったな……","Hum… a decolagem não foi como o esperado…","呃……升空跟计划的不太一样……"
"Maybe something wasn't tied up quite right?","Vlad the ant","Maybe something wasn't tied up quite right?","Vielleicht war irgendwas nicht richtig befestigt?","Peut-être que quelque chose était mal fixé ?","Forse qualcosa non è stato fissato bene?","Agian zerbait ez zegoen oso ondo lotua...","Может, мы что-то не так соединили?","どこかに ミスが あったのか？","Talvez faltou amarrar alguma coisa?","也许有些地方的连接不太正确？"
"Don't worry! We can try again!","Vlad the ant","Don't worry! We can try again!","Keine Sorge, wir können es noch mal versuchen.","Pas de panique ! On peut réessayer !","Non preoccuparti! Possiamo riprovarci!","Ez arduratu! Berriro saia gaitezke!","Не переживай! Попробуем еще раз!","だいじょうぶ！　もういちど やってみよう！","Não se preocupe! Podemos tentar de novo!","别担心！我们可以再试试！"
"Engine nominal, airspeed increasing!","Vlad the ant","Engine nominal, airspeed increasing!","Motor normal, Fluggeschwindigkeit steigt!","Moteur en régime nominal, vitesse anémométrique en augmentation !","Motore a regime, velocità in aumento!","Motorraren egoera: egokia, abiadura gehitzen!","Двигатель работает нормально, скорость увеличивается!","エンジン いじょうなし。対気速度（たいきそくど）じょうしょう中！","Motor funcionando, velocidade aumentando!","引擎正常，飞行速度提升！"
"This is it! We're flying!","Vlad the ant","This is it! We're flying!","Na also! Wir fliegen!","C'est parti ! On s'envole !","Ci siamo! Stiamo volando!","Orain bai! Hegan gabiltza!","Получилось! Мы летим!","よし！　とんでるぞ！","Isso aí! Estamos voando!","成功了！我们飞起来了！"
"Woah! This storm was NOT on our forecast!","Vlad the ant","Woah! This storm was NOT on our forecast!","Hoppla! Von dem Sturm hat der Wetterbericht NICHTS gesagt!","Ouh là ! On n'avait pas prévu une telle tempête !","Uooh! Le previsioni non parlavano di una tempesta!","Uooa! Ekaitz hau EZ zegoen iragarria!","Ничего себе! В нашем прогнозе этой бури не было!","あらしだ！　こんな天気よほうは聞いてないぞ！","Eita! Essa tempestade não estava prevista!","哇！我们的天气预报上可没说有暴风雨！"
"But the ship is still holding... barely...","Vlad the ant","But the ship is still holding... barely...","Aber das Luftschiff hält … gerade so …","Mais l'aéronef tient le coup... plus ou moins...","Riusciamo a restare in quota... ma a malapena...","Baina ontziak oraindik osorik dirau... kostata...","Но корабль держится... едва-едва...","とはいえ船は まだもってる……ギリギリだが……","Mas o balão tá resistindo… mais ou menos…","但是飞艇还能坚持住……很勉强……"
"You stay safe, Comrade.","Vlad the ant","You stay safe, Comrade.","Pass auf dich auf, Genossin.","Fais attention à toi, camarade.","Bada alla tua pelle, compagna.","Zaindu, burkide.","Ты там поосторожней, товарищ.","気をつけてな、同志（どうし）。","Boa sorte, camarada.","同志，你多保重。"
"We'll keep the engine running for you.","Vlad the ant","We'll keep the engine running for you.","Wir kümmern uns für dich um den Motor.","On continue à faire tourner le moteur.","Ci pensiamo noi a tenere i motori accesi.","Motorra martxan mantenduko dugu zuretzako.","Мы обеспечим работу двигателя.","エンジンを切らずに まっているからな。","Estaremos esperando com o motor ligado.","我们会一直开着引擎等着你。"
"Sorry we're late, Comrade!","Vlad the ant","Sorry we're late, Comrade!","Verzeih die Verspätung, Genossin.","Désolée du retard, camarade !","Scusa il ritardo, compagna!","Barkatu, berandu gatoz, burkide!","Товарищ! Прости за опоздание!","またせたな、同志（どうし）！","Desculpe a demora, camarada!","抱歉我们来晚了，同志！"
"Just picked up a little help on the way!","Vlad the ant","Just picked up a little help on the way!","Haben uns unterwegs etwas Hilfe geholt!","Nous avons fait un détour pour chercher de l'aide !","Ho recuperato un aiutino mentre venivo qui!","Bidean laguntza pixkat bildu dugu!","По пути мы нашли помощника!","とちゅうで、なかまを つれてきたぞ！","Mas fui atrás de uma ajudinha no caminho!","从路上接了一些帮手！"
"Hey neighbour!","Teen beetle","Hey neighbour!","Hallo, Nachbar!","Hé, voisine !","Ehilà, sorella!","Ei, auzokide!","Привет, соседка!","やあ、わが隣人（りんじん）よ！","Aí, vizinha!","你好啊，邻居！"
"Mech-Ant 1 reporting for duty!","Generic soldier ant","Mech-Ant 1 reporting for duty!","Robomeise 1 meldet sich zum Dienst!","Fourmi-méca 1, au rapport !","Formecha 1 a rapporto!","01 Inurri Mekanikoa ekiteko prest!","Мехмур 1 к службе готов!","メカアント 1、ちゃくにん いたしました！","Formiga-mecânica 1 se apresentando!","机械蚁 1 号向您报道！"
"This beast doesn't stand a chance!","Generic soldier ant","This beast doesn't stand a chance!","Dieses Untier hat keine Chance!","Cette ignoble créature n'a aucune chance !","Questa bestia non ha speranze!","Piztia horrek ez du irabaziko!","Зверь не уйдет!","けだものめ、ここまでだ！","Essa fera não vai ter chance!","那只禽兽毫无机会！"
"We're coming in close now!","Vlad the ant","We're coming in close now!","Wir sind schon ganz nah!","En approche de la cible !","Siamo molto vicini!","Gerturatzen ari gara!","Мы приближаемся!","もうちょっとだ！","Estamos nos aproximando agora!","我们已经接近了！"
"You'll have to pull the Mech-Ant onto the bird's back with your webs!","Vlad the ant","You'll have to pull the Mech-Ant onto the bird's back with your webs!","Du musst die Robomeise mit deinen Netzen auf den Rücken des Vogels ziehen!","Tu vas devoir déployer la fourmi-méca sur le dos de l'oiseau avec tes toiles !","Devi calare la Formecha sul dorso del pennuto usando la tua tela!","Inurri Mekanikoa amaraunarekin txoriaren bizkarrera lotu beharko duzu!","Затащи мехмура на спину птицы своей паутиной!","きみの糸を使って、メカアントを鳥のせなかに ひっぱりあげろ！","Use suas teias pra colocar a Formiga-mecânica nas costas do pássaro!","你要用你的网把机械蚁拉到那只鸟的背上！"
"Let's do this!","Vlad the ant","Let's do this!","Packen wir’s an!","On y va !","Forza!","Ekin!","Вперед!","やるぞ！","Vamos nessa!","我们开始吧！"
"I'm in position, get clear!","Generic soldier ant","I'm in position, get clear!","Bin in Position, auf dem Weg!","Je suis en position, dégagez le terrain !","Sono in posizione! Largo, largo!","Posizioan nago, kendu paretik!","Я на позиции, берегись!","いちに ついたぞ。ばしょを開けろ！","Estou em posição! Abram espaço!","我已经就位了，清场！"
"Detaching Mech-Ant...","Generic soldier ant","Detaching Mech-Ant...","Robomeise loslösen …","On détache la fourmi-méca...","Sgancio la Formecha...","Inurri Mekanikoa desmuntatzen...","Отсоединяю мехмура...","メカアント せつぞく かいじょ中……","Soltando a Formiga-mecânica…","正在派出机械蚁……"
"Now!","Generic soldier ant","Now!","Jetzt!","Maintenant !","Ora!","Orain!","Готово!","今だ！","Agora!","现在！"
"We did it! The beast is grounded!","Generic soldier ant","We did it! The beast is grounded!","Wir haben es geschafft! Das Untier ist am Boden!","On a réussi ! La bête est à terre !","Ce l'abbiamo fatta! Abbiamo bloccato la bestia!","Lortu dugu! Piztia eraitsi dugu!","Получилось! Зверь обезврежен!","やった！　けだものめ！　おちていったぞ！","Conseguimos! A fera foi derrubada!","我们成功了！这只禽兽被打败了！"
"What should we do with him now, Comrade?","Generic soldier ant","What should we do with him now, Comrade?","Was sollen wir jetzt mit ihm machen, Genossin?","Que doit-on faire de lui maintenant, camarade ?","Adesso che cosa ne facciamo di lui, compagna?","Zer egingo dugu orain berekin, burkide?","Товарищ, что будем с ним делать?","さあ、同志（どうし）。やつを どうしましょう？","O que fazer com ela agora, camarada?","同志，我们现在要怎么处理他？"
"We send him away!","Moth","We send him away!","Wir schicken ihn fort!","Qu'on l'envoie loin d'ici !","Lo cacciamo via!","Urrutira bidaliko dugu!","Скажем ему уйти отсюда!","おいだそう！","Vamos enxotá-la daqui!","我们把他赶走！"
"You hear me, bird?","Moth","You hear me, bird?","Hörst du das, Vogel?","T'as entendu, le piaf ?","Mi hai sentita, uccellaccio?","Entzun, txoria?","Слышишь меня, птица?","聞こえるか？　鳥よ。","Ouviu, pássaro?","听到了吗，大鸟？"
"You've burnt all your bridges here.","Moth","You've burnt all your bridges here.","Du hast hier alle Brücken hinter dir abgebrochen.","Tu as grillé toutes tes options de fuite.","Hai tirato troppo la corda.","Amaitu da hemengo zure egonaldia.","Ты сжег все мосты.","ぼくたちは もう おまえを ゆるさない。","Você não é mais bem-vindo aqui.","你已经把所有的后路都斩断了。"
"The bugs of this bush will not put up with you eating and kidnapping their friends!","Moth","The bugs of this bush will not put up with you eating and kidnapping their friends!","Die Insekten dieses Waldes lassen es nicht mehr zu, dass du ihre Freunde entführst und frisst.","Les insectes de cette forêt ne te pardonneront jamais d'avoir enlevé et dévoré leurs amis !","Gli insetti di questa foresta sono stufi di te che mangi e rapisci i loro amici!","Baso honetako zomorroek ez du onartuko zuk beste inor jan edo bahitzerik!","Насекомые этого леса не потерпят, чтобы ты ел и похищал наших друзей!","ヤブの虫たちは たくさん なかまを食べられたり さらわれたりした。でも もう だまってないぞ！","Os insetos daqui não vão mais tolerar você devorando e sequestrando seus amigos!","本桉树的虫子们再也不会忍受你吃掉或者绑架我们的朋友了！"
"And now we have the means to defend ourselves.","Moth","And now we have the means to defend ourselves.","Und jetzt sind wir auch in der Lage, uns zu verteidigen.","Et nous avons maintenant les moyens de nous défendre.","Ma ora abbiamo i mezzi per difenderci.","Eta orain badugu nola defendatu.","И теперь мы можем себя защитить.","じぶんたちを守ることも できる。","E agora temos como nos defender!","而且我们现在有了自保的能力。"
"You need to find a new land to call home.","Moth","You need to find a new land to call home.","Du musst dir ein neues Zuhause suchen.","Tu vas devoir aller habiter ailleurs.","Devi trovarti una nuova casa.","Etxetzat hartzeko lur berri bat aurkitu beharko duzu.","Найди себе новый дом!","おまえは、新しい ふるさとを さがすんだ。","Você precisa encontrar um novo lar.","你要重新找个地方安家了。"
"Maybe somewhere far away from here with more birds like you.","Moth","Maybe somewhere far away from here with more birds like you.","Irgendwo ganz weit weg, wo es mehr Vögel wie dich gibt.","Je te conseille de partir très loin d'ici, là où il y a d'autres oiseaux comme toi.","Un luogo lontano, dove vivere in mezzo ai tuoi simili.","Agian hemendik urruti dagoen lurren bat, zu moduko txori gehiago daudena.","Улетай подальше отсюда, туда, где живут другие птицы вроде тебя.","ここから遠い どこかで。同じような鳥のいる ばしょで。","Talvez um lugar longe daqui, onde haja mais pássaros como você.","也许可以找个离这里远远的、有更多你的同类的地方。"
