"game_lang_code","context","EU"
"Screen Shake","Menu","Pantailako dardara"
"VSync","Menu","Sinkronizatze bertikala"
"Reset All Settings","Menu","Leheneratu ezarpenak"
"Back","Menu","Itzuli"
"Graphics","Menu","Grafikoak"
"Sound","Menu","Soinua"
"Gameplay","Menu","Jokoa"
"Accessibility","Menu","Erabilerraztasuna"
"Play Time:","Menu","Denbora:"
"Delete Save Data","Menu","Ezabatu gordetako partida"
"Cancel","Menu","Utzi"
"Okay","Menu","Ados"
"Are you sure you want to delete this save file? Your current progress will be lost.","Menu","Ziur gordetako partida hau ezabatu nahi duzula? Uneko aurrerapena galduko duzu."
"Are you sure you want to overwrite this save with a new game? Your current progress will be lost.","Menu","Ziur gordetako partida hau partida berri batekin gainidatzi nahi duzula? Uneko aurrerapena galduko duzu."
"None","Menu","Bat ere ez"
"Normal","Menu","Normal"
"Lots","Menu","Asko"
"Depth of Field","Menu","Sakontasuna"
"Off","Menu","Ez"
"Max","Menu","Max"
"Master Volume","Menu","Bolumen nagusia"
"SFX Volume","Menu","Efektuen bolumena"
"Ambient Volume","Menu","Girotzearen bolumena"
"Music Volume","Menu","Musikaren bolumena"
"Web Music Volume","Menu","Amaraun hotsen bolumena"
"Press to Weave Web","Menu","Sakatu amarauna ehuteko"
"Show Web Preview","Menu","Erakutsi amaraunaren aurrebista"
"Automatically Eat Flies","Menu","Irentsi euliak automatikoki"
"Keybinding","Menu","Kontrolak"
"Arachnophobia Mode","Menu","Araknofobia modua"
"Dim Background","Menu","Ilundu atzeko planoa"
"White Outlines","Menu","Ingerada zuriak"
"Hide Foreground Decorations","Menu","Ezkutatu aurreko planoko dekorazioa"
"Reset all to default","Menu","Berrezarri lehenetsiak"
"Done","Menu","Eginda"
"Bugopedia","Control mapping","Egunerokoa"
"Move up","Control mapping","Gora"
"Move down","Control mapping","Behera"
"Move left","Control mapping","Ezkerrera"
"Move right","Control mapping","Eskumara"
"Jump","Control mapping","Jauzi egin"
"Grapple","Control mapping","Heldu"
"Weave","Control mapping","Ehundu"
"Laser","Control mapping","Laserra"
"Dance","Control mapping","Dantzan egin"
"Interact","Control mapping","Interaktuatu"
"STUFF I'VE FOUND:","Journal heading","AURKITUTAKO GAUZAK:"
"THINGS TO DO:","Journal heading","EGITEKOAK:"
"Moth Nest","Airship blueprints","Sits. Habia"
"Spider Webs","Airship blueprints","Amaraunak"
"Pilot Platform","Airship blueprints","Pilotatze Plataf."
"Patches","Airship blueprints","Adabakiak"
"Engine","Airship blueprints","Motorra"
"Fuel","Airship blueprints","Erregaia"
"Resume","Resume","Itzuli"
"Main Menu","Main Menu","Menu nagusia"
"Yes","Options in a dialogue choice","Bai"
"No","Options in a dialogue choice","Ez"
"Credits","Option in main menu","Kredituak"
"Move","Controls descriptions","Mugitu"
"Pause","Controls descriptions","Pausatu"
"Aim","Controls descriptions","Apuntatu"
"The developers would like to acknowledge the Jagera, Turrbul, and Gubbi Gubbi peoples as the traditional owners of the lands on which Webbed was produced.","Acknowledgement to country at start of game","Garatzaileek jagera, turrbul, eta gubbi gubbi herriak Webbed sortu zen lurretako jatorrizko jabe gisa aitortu nahi dituzte."
"press any button","Displayed before the main menu on Xbox","sakatu edozein botoi"
"Switch user","Displayed in main menu on xbox","Aldatu erabiltzailez"
"When enabled you must press the weave button a second time to attach the other end of the web.",,"Gaituz gero, amaraunaren beste ertza itsasteko bigarren aldiz sakatu beharko duzu botoia."
"Shows a dotted line when weaving webs.",,"Marradun lerro bat erakusten du amaraunak ehuntzean."
"When disabled, a button press is required to eat flies.",,"Desgaituz gero, euliak irensteko botoia sakatu beharko duzu."
"Turns all spiders into friendly blobs. Does not affect gameplay.",,"Armiarma guztiak bolatxo lagunkoi bihurtzen ditu. Ez dio jokoari eragiten."
