"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"note:EZIC_FINAL","GRESTIN CHECKPOINT IS AT AN END

TODAY WE BREAK THIS WALL DOWN

YOU WILL BE SAFE

HOLD YOUR FIRE

* THE ORDER OF THE EZIC STAR","GRESTINGO KONTROLGUNEA AZKENETAN DAGO

GAUR HARRESI HAU ERAITSIKO DUGU

ZU SEGURU EGONGO ZARA

EZ TIRO EGIN

* EZIC IZARRAREN ORDENA"
"traveler:DEFAULT","Where is my passport? ; My passport? ; Passport? ; What is this slip? Where is passport?","Non da nire pasaportea? ; Nire pasaportea? ; Pasaportea? ; Zer da paper hau? Non da pasaportea?"
"traveler:DEFAULT","@It is being confiscated.","@Konfiskatua izan da."
"traveler:DEFAULT","How will I travel? ; What should I do? ; Why? ; You cannot do this.","Nola bidaiatuko dut? ; Zer egin behar dut? ; Zergatik? ; Ezin duzu hori egin."
"traveler:DEFAULT","@Contact number on slip.","@Deitu papereko zenbakira."
"traveler:EZIC_INTRO","The Order awaits.","Ordena zain dago."
"traveler:EZIC_CORMAN","Very good.","Oso ongi."
"traveler:EZIC_CORMAN","Read quickly.","Bizkor irakurri."
"traveler:EZIC_CORMAN","Do not lose this.","Ez galdu hau."
"traveler:EZIC_CORMAN","You have something of mine.","Zerbait duzu niretzat."
"traveler:EZIC_CORMAN","My name is Corman Drex.","Nire izena Corman Drex da."
"traveler:EZIC_CORMAN","Read the note then return it to me.","Irakurri oharra eta itzulidazu."
"traveler:EZIC_HANDLER_PRE0","Our agents are ready.","Gure agenteak prest daude."
"traveler:EZIC_HANDLER_PRE0","Starting tomorrow.","Bihartik aurrera."
"traveler:EZIC_HANDLER_PRE0","Let them pass.","Utziezu pasatzen."
"traveler:EZIC_AGENT0","The Order rises.","Ordena jaiki da."
"traveler:EZIC_AGENT0","The Order knows.","Ordenak badaki."
"traveler:EZIC_AGENT1","For Arstotzka and the Order.","Arstotzka eta Ordenagatik."
"traveler:EZIC_HANDLER_POST1","Give me the coded documents.","Eman kodetutako dokumentuak."
"traveler:EZIC_HANDLER_POST1","Both.","Biak."
"traveler:EZIC_HANDLER_EXT","Today.","Gaur."
"traveler:EZIC_AGENT_EXT","For Arstotzka and the Order.","Arstotzka eta Ordenagatik."
"traveler:EZIC_AGENT_EXT","The others do not agree, but I believe the man in red is not a threat.","Besteak ez datoz bat, baina uste dut gorriz doan gizona ez dela mehatxua."
"traveler:EZIC_AGENT_EXT","@What?","@Zer?"
"traveler:EZIC_AGENT_EXT","Nevermind.","Uztazu."
"traveler:EZIC_HANDLER_SNIPE","Shoot to kill.","Hiltzeko tiro egin."
"traveler:EZIC_DIPLO","I require my passport.","Nire pasaportea behar dut."
"traveler:EZIC_DIPLO","@It has been confiscated.","@Konfiskatua izan da."
"traveler:EZIC_DIPLO","I am Kolechian diplomat here on government request.","Kolechiar diplomazialaria naiz hemen gobernuaren eskariz."
"traveler:EZIC_DIPLO","Return passport at once.","Itzuli pasaportea behingoz."
"traveler:EZIC_DIPLO","@Call number on slip to recover.","@Deitu papereko zenbakira berreskuratzeko."
"traveler:EZIC_DIPLO","Barbarian.","Anker hori."
"traveler:EZIC_DIPLO","You cannot do this.","Ezin duzu hori egin."
"traveler:EZIC_DIPLO_FOLLOW","I saw him enter.","Sartzen ikusi dut."
"traveler:EZIC_DIPLO_FOLLOW","Give his passport to me.","Eman niri bere pasaportea."
"traveler:EZIC_DIPLO_FOLLOW","Ah good.","Ah, ongi."
"traveler:EZIC_DIPLO_FOLLOW","I look much the same as him.","Itxura bera dugu."
"traveler:EZIC_DIPLO_FOLLOW","Just need to shave my mustache.","Bibotea moztu baino ez dut egin behar."
"traveler:EZIC_DIPLO_FOLLOW","But we all must make sacrifices.","Baina denok sakrifikatu behar dugu."
"traveler:EZIC_DIPLO_FOLLOW","Appove the visa.","Onartu bisa."
"traveler:EZIC_DIPLO_FOLLOW","For Arstotzka and the Order.","Arstotzka eta Ordenagatik."
"traveler:EZIC_DIPLO_FOLLOW","This is not what was agreed on.","Hau ez da erabaki zena."
"traveler:EZIC_DIPLO_FOLLOW","I am sent to collect diplomat's passport.","Diplomazialariaren pasaportea jasotzera bidali naute."
"traveler:EZIC_DIPLO_FOLLOW","@I do not have it.","@Nik ez daukat."
"traveler:SECRET_POLICE_INTRO","Good morning, inspector.","Egun on, ikuskatzaile."
"traveler:SECRET_POLICE_INTRO","You are healthy today yes?","Gaur osasuntsu, bai?"
"traveler:SECRET_POLICE_INTRO","I have just few questions for you.","Zuretzat galdera batzuk ditut nik."
"traveler:SECRET_POLICE_INTRO","There was problem at Metro last night.","Arazo bat egon da bart metroan."
"traveler:SECRET_POLICE_INTRO","Maybe you read about it in paper.","Agian egunkarian irakurri duzu."
"traveler:SECRET_POLICE_INTRO","Is very big news.","Berri garrantzitsua da."
"traveler:SECRET_POLICE_INTRO","We think it is not accident.","Uste dugu ez zela istripua izan."
"traveler:SECRET_POLICE_INTRO","We think it is caused by suspicious group.","Talde susmagarri batek egin duela uste dugu."
"traveler:SECRET_POLICE_INTRO","We think some members pass through this checkpoint.","Uste dugu kide batzuk kontrolgune honetatik pasa direla."
"traveler:SECRET_POLICE_INTRO","So we come talk to you.","Beraz, zurekin hitz egitera etorri gara."
"traveler:SECRET_POLICE_INTRO","Have you seen anything like this?","Ikusi duzu horrelako ezer?"
"traveler:SECRET_POLICE_INTRO","Is some kind of symbol for group.","Taldearen ikur moduko bat da."
"traveler:SECRET_POLICE_INTRO","If you have any information, you give to us yes?","Informazioren bat baduzu, emaguzu, bai?"
"traveler:SECRET_POLICE_INTRO","Yes?","Bai?"
"traveler:SECRET_POLICE_INTRO","@Yes.","@Bai."
"traveler:SECRET_POLICE_INTRO","Very good.","Oso ongi."
"traveler:SECRET_POLICE_INTRO","Please return my badge and paper.","Mesedez itzuli nire plaka eta papera."
"traveler:SECRET_POLICE_INTRO","We think suspicious group attempts to stir trouble.","Uste dugu talde susmagarriak istiluak sortu nahi dituela."
"traveler:SECRET_POLICE_INTRO","We think some members enter this checkpoint.","Uste dugu kide batzuk kontrolgune honetatik sartu direla."
"traveler:SECRET_POLICE_INTRO","What is this?","Zer da hau?"
"traveler:SECRET_POLICE_INTRO","Interesting.","Interesgarria."
"traveler:SECRET_POLICE_INTRO","Yes, very interesting.","Bai, oso interesgarria."
"traveler:SECRET_POLICE_INTRO","I think it is best if you come with me.","Uste dut hobe duzula nirekin etortzea."
"traveler:SECRET_POLICE_INTRO","This group is very dangerous.","Taldea oso arriskutsua da."
"traveler:SECRET_POLICE_INTRO","If you see any curious thing, report immediately.","Ezer arrarorik ikusiz gero, jakinarazi berehala."
"traveler:SECRET_POLICE_CAUGHT","Hello inspector.","Kaixo, ikuskatzaile."
"traveler:SECRET_POLICE_CAUGHT","There is small discrepancy with your finances.","Arazo txiki bat dago zure finantzekin."
"traveler:SECRET_POLICE_CAUGHT","The Ministry of Income was thoughtful enough to notify us.","Irabazien Ministerioak bere lana behar bezala egin, eta jakinarazi egin digu."
"traveler:SECRET_POLICE_CAUGHT","It is best if you come with me.","Hobe duzu nirekin etortzea."
"traveler:SECRET_POLICE_FINAL","Inspector.","Ikuskatzaile."
"traveler:SECRET_POLICE_FINAL","It has been some time.","Aspaldiko."
"traveler:SECRET_POLICE_FINAL","Read your bulletin carefully today.","Irakurri buletina arretaz gaur."
"traveler:SECRET_POLICE_FINAL","We will be speaking with many workers.","Hainbat langilerekin hitz egingo dugu."
"traveler:SECRET_POLICE_FINAL","Your audit comes soon.","Zure berrikuspena laster egingo da."
"traveler:SECRET_POLICE_FINAL","I will personally conduct it.","Neuk gidatuko dut pertsonalki."
"traveler:SECRET_POLICE_FINAL","There is nothing to fear.","Ez duzu kezkatu beharrik."
"traveler:SECRET_POLICE_FINAL","Work hard.","Egin lan gogor."
"traveler:JORJI_BASE","All right! You the best!","Ongi da! Onena zara!"
"traveler:JORJI_BASE","Arstotzka the best!","Arstotzka onena da!"
"traveler:JORJI_BASE","Here, take this!","Hemen, hartzazu!"
"traveler:JORJI0","Ok! Here we go!","Ados! Hemen nator!"
"traveler:JORJI0","Glory to Arstotzka!","Aintza Arstotzkari!"
"traveler:JORJI0","The greatest country!","Herrialderik onena!"
"traveler:JORJI0","@Where is your passport?","@Non da zure pasaportea?"
"traveler:JORJI0","Passport!","Pasaportea!"
"traveler:JORJI0","Arstotzka so great, passport not required.","Arstotzka horren ona da, ez da pasaporterik behar."
"traveler:JORJI0","Right?","Ezta?"
"traveler:JORJI0","@A passport is required.","@Pasaportea beharrezkoa da."
"traveler:JORJI0","Ok, ok. I hear you.","Ongi, ongi. Ulertzen dut."
"traveler:JORJI0","I come back again.","Itzuliko naiz."
"traveler:JORJI1","Ok! Hello again!","Ados! Kaixo berriro!"
"traveler:JORJI1","Now I have passport!","Orain badut pasaportea!"
"traveler:JORJI1","Arstotzka still best country for sure!","Arstotzka oraindik herrialderik onena da, ziur!"
"traveler:JORJI1","@This passport is crude fake.","@Pasaporte hau guztiz faltsua da."
"traveler:JORJI1","Hey now! Is not true!","Hori ez! Ez da egia!"
"traveler:JORJI1","Is pre-approved!","Aurrez onartua dago!"
"traveler:JORJI1","@ Cobrastan is not a real country.","@Cobrastan ez da benetako herrialdea."
"traveler:JORJI1","Ok, ok.","Ados, ados."
"traveler:JORJI1","You no like passport, I understand.","Ez duzu nire pasaportea gustoko, ulertzen dut."
"traveler:JORJI1","I come back again with better one.","Hobe batekin itzuliko naiz."
"traveler:JORJI2","Old friend hello!","Lagun zaharra, kaixo!"
"traveler:JORJI2","I am back again!","Bueltan nator!"
"traveler:JORJI2","This time everything set.","Oraingoan dena ongi."
"traveler:JORJI2","@You are missing an entry permit.","@Onarpen baimena falta zaizu."
"traveler:JORJI2","Oh man you funny guy!","Tipo graziosoa zara!"
"traveler:JORJI2","@An entry permit is required.","@Onarpen baimena beharrezkoa da."
"traveler:JORJI2","Wow, you run very strict border here.","Hara, oso kontrol zorrotza daukazue hemen."
"traveler:JORJI2","That is good. Do job right.","Hori ona da. Ondo lan egin."
"traveler:JORJI2","I look for entry thing and come back.","Onarpen zera hori lortu eta itzuliko naiz."
"traveler:JORJI3","Hey it is me!","Ei, ni naiz!"
"traveler:JORJI3","Are you happy to see?","Pozik ni ikusteaz?"
"traveler:JORJI3","I have everything you ask for now.","Eskatutako dena dut orain."
"traveler:JORJI3","@Tickets are no longer accepted.","@Tiketak dagoeneko ez dira onartzen."
"traveler:JORJI3","Hey no!","Ez ba!"
"traveler:JORJI3","Guy sold me ticket. Say is good!","Tipoak tiketa saldu zidan. Ona zela esan zuen!"
"traveler:JORJI3","You check again maybe.","Tira, egiaztatu berriro."
"traveler:JORJI3","@Do not come back again.","@Ez itzuli berriz."
"traveler:JORJI3","Haha!","Kar kar!"
"traveler:JORJI3","You nice guy but I have business in Arstotzka.","Tipo jatorra zara, baina negozioa dut Arstotzkan."
"traveler:JORJI3","I get right papers and come see you.","Paper onak lortu eta azalduko naiz."
"traveler:JORJI4","Hello my guy!","Kaixo adiskidea!"
"traveler:JORJI4","Ok. Today is day!","Ados. Gaur da eguna!"
"traveler:JORJI4","Look at all good papers.","Ikusi paper on guztiok."
"traveler:JORJI4","Was not easy.","Ez da erraza izan."
"traveler:JORJI4","Or cheap! Haha!","Edo merkea! Kar kar!"
"traveler:JORJI4","@I told you not to come back.","@Esan nizun ez itzultzeko."
"traveler:JORJI4","This is crap.","Kaka zaharra."
"traveler:JORJI4","You know what? Forget it.","Badakizu zer? Ahaztazu."
"traveler:JORJI4","Arstotzka worst country.","Arstotzka herrialderik txarrena da."
"traveler:JORJI4","You worst person.","Zu pertsonarik txarrena zara."
"traveler:JORJI4","Thank you so much!","Eskerrik asko!"
"traveler:JORJI4","If I am honest to you, I was little nervous.","Egia esanda, pixka bat urduri nengoen."
"traveler:JORJI4","Even with right papers is hard to say.","Paper onekin ere, inoiz ez dakizu."
"traveler:JORJI4","Ok bye!","Ados, aio!"
"traveler:JORJI_SMUGGLE0","Again I am here!","Berriro nator!"
"traveler:JORJI_SMUGGLE0","Everything all set up now.","Dena gertu oraingoan."
"traveler:JORJI_SMUGGLE0","I come through often to see you.","Sarri nator zu ikustera."
"traveler:JORJI_SMUGGLE0","We become good friends!","Lagun onak egin gara!"
"traveler:JORJI_SMUGGLE0","@Your weight is different.","@Zure pisua ez dator bat."
"traveler:JORJI_SMUGGLE0","Is sad story.","Kontu tristea da."
"traveler:JORJI_SMUGGLE0","My wife very bad cook.","Nire emaztea oso txarra da sukaldean."
"traveler:JORJI_SMUGGLE0","But if I do not eat, she get angry.","Baina ez badut jaten, haserretzen da."
"traveler:JORJI_SMUGGLE0","Uh oh, maybe you not like this!","Kontxo, agian hau ez zaizu gustatuko!"
"traveler:JORJI_SMUGGLE0","@What is this?","@Zer da hau?"
"traveler:JORJI_SMUGGLE0","Is drugs!","Droga!"
"traveler:JORJI_SMUGGLE0","I have little side business here.","Negozio txiki bat daukat hemen."
"traveler:JORJI_SMUGGLE0","You let me through and I give you something something.","Utzi pasatzen, eta zerbait zerbait emango dizut."
"traveler:JORJI_SMUGGLE0","@Something what?","@Zerbait zer?"
"traveler:JORJI_SMUGGLE0","Ten credits.","Hamar kreditu."
"traveler:JORJI_SMUGGLE0","I give you ten credits for just little stamp.","Hamar kreditu zigilutxo bategatik."
"traveler:JORJI_SMUGGLE0","@Wait here Jorji.","@Itxaron hemen Jorji."
"traveler:JORJI_SMUGGLE0","Is ok, I understand.","Ondo da, ulertzen dut."
"traveler:JORJI_SMUGGLE0","Drugs are bad. Not good for kids.","Drogak txarrak dira. Ez dira onak umeentzat."
"traveler:JORJI_SMUGGLE0","You do great work here still.","Langile fina zara oraindik."
"traveler:JORJI_SMUGGLE0","Ok!","Ados!"
"traveler:JORJI_SMUGGLE0","We go full speed!","Martxa bizian goaz!"
"traveler:JORJI_SMUGGLE0","Hey what is problem?","Ei, zein da arazoa?"
"traveler:JORJI_SMUGGLE0","@I do not trust you.","@Ez naiz zutaz fio."
"traveler:JORJI_SMUGGLE0","Ok, ok.","Ongi, ongi."
"traveler:JORJI_SMUGGLE0","You good guy so I win trust next time.","Zu tipo ona zara, hurrengorako konfiantza irabaziko dut."
"traveler:JORJI_SMUGGLE1","Ok, I am back!","Ados, bueltan naiz!"
"traveler:JORJI_SMUGGLE1","Same procedure!","Prozedura bera!"
"traveler:JORJI_SMUGGLE1","They told me this hard business.","Hau negozio gogorra zela esan zidaten."
"traveler:JORJI_SMUGGLE1","So far everything smooth like ice!","Orain arte dena arazorik gabe!"
"traveler:JORJI_SMUGGLE1","Thanks to you!","Zuri esker!"
"traveler:JORJI_SMUGGLE1","Buy something happy for wife.","Erosi zerbait ederra emazteari."
"traveler:JORJI_SMUGGLE1","Phew!","Ufa!"
"traveler:JORJI_SMUGGLE1","Was tough one. Lucky for me, guard was easy.","Tipo hura zorrotza zen. Zorionez, zaindaria ez."
"traveler:JORJI_SMUGGLE1","He asks for big money but is reasonable man.","Diru asko eskatzen du, baina zentzuzko tipoa da."
"traveler:JORJI_SMUGGLE1","Oh man, again!","Motel, berriro!"
"traveler:JORJI_SMUGGLE1","That guard have another good day.","Zaindari hark beste egun on bat du."
"traveler:JORJI_SMUGGLE1","Not sure I keep this up with no sales!","Ez dakit salmenta gabe aurrera egin ahalko dudan!"
"traveler:JORJI_SMUGGLE1","Ok, we try again!","Ados, berriro saiatuko gara!"
"traveler:JORJI_SMUGGLE1","Sorry to bother you, but this my only job.","Barkatu eragozpenak, baina hau da nire lan bakarra."
"traveler:JORJI_SMUGGLE1","@Wait here, Jorji.","@Itxoin hemen, Jorji."
"traveler:JORJI_SMUGGLE1","Is ok, I understand.","Ondo da, ulertzen dut."
"traveler:JORJI_SMUGGLE1","Drugs are bad. Not good for kids.","Drogak txarrak dira. Txarrak umeentzat."
"traveler:JORJI_SMUGGLE1","You do great work here still.","Baina lan ona egiten duzu hemen."
"traveler:JORJI_SMUGGLE1","@I see a difference here.","@Hau ez dator bat."
"traveler:JORJI_SMUGGLE1","Is real mystery for sure.","Misterio handia, bai."
"traveler:JORJI_SMUGGLE1","Maybe things get too sexy in here.","Agian kontua sexyegi jarriko da hemen."
"traveler:JORJI_SMUGGLE1","@Drugs?","@Drogak?"
"traveler:JORJI_SMUGGLE1","Looks like good stuff right?","Kalitate honekoa dirudi, ezta?"
"traveler:JORJI_SMUGGLE1","Wait! I give you 10 credits for ok stamp!","Itxaron! 10 kreditu emango dizkizut OK zigiluarengatik!"
"traveler:JORJI_SMUGGLE1","Think about family!","Pentsatu familian!"
"traveler:JORJI_SMUGGLE1","They can buy many happy things with these credits.","Gauza alai asko eros ditzakete kreditu hauekin."
"traveler:JORJI_SMUGGLE1","Just for little harmless drugs!","Inori kalterik egiten ez dion droga apur baten truke!"
"traveler:JORJI_SMUGGLE1","This much better, see?","Askoz hobe horrela, ikusten?"
"traveler:JORJI_SMUGGLE1","Wow, you really stand-up guy.","Kontxo, fidatzeko tipoa."
"traveler:JORJI_SMUGGLE1","Maybe is not so good for me when I think about.","Agian ez da horren ona niretzat, pentsatzen jarrita."
"traveler:JORJI_CRIMINAL","Is good to see you again!","Poza zu berriro ikustea!"
"traveler:JORJI_CRIMINAL","Today I come just for short visit.","Gaur bisita labur baterako nator."
"traveler:JORJI_CRIMINAL","Everything is definitely ok with me.","Dena ondo doakit."
"traveler:JORJI_CRIMINAL","For sure I am not in criminal bulletin or anything!","Seguru ez nagoela gaizkileen buletinean edo horrelako ezertan!"
"traveler:JORJI_CRIMINAL","@Your face is in wanted bulletin.","@Zure argazkia bilatuenen buletinean dago."
"traveler:JORJI_CRIMINAL","What! I pay police like crazy!","Zer! Poliziari dirutza ordaindu diot!"
"traveler:JORJI_CRIMINAL","They promise no bulletin. All clear they say.","Buletinik ez, hitzeman zidaten. Dena garbi, esan zidaten."
"traveler:JORJI_CRIMINAL","I think twice about trusting friendly people.","Bi aldiz pentsatuko dut berriro jende atseginaz fidatu aurretik."
"traveler:JORJI_CRIMINAL","Hey I really like you.","Ei, gogoko zaitut."
"traveler:JORJI_CRIMINAL","I know is risky to help me like this.","Badakit ni horrela laguntzea arriskutsua dela."
"traveler:JORJI_CRIMINAL","I try to make it up for you.","Faborea bueltatzen saiatuko naiz."
"traveler:JORJI_CRIMINAL","Ah, is ok.","A, ondo da."
"traveler:JORJI_CRIMINAL","At least you do not arrest me.","Behintzat ez nauzu atxilotu."
"traveler:JORJI_CRIMINAL","Thanks anyways.","Milesker, dena den."
"traveler:JORJI_CRIMINAL","@Sorry Jorji.","@Sentitzen dut, Jorji."
"traveler:JORJI_CRIMINAL","Ah, is ok. Most police know me now.","A, lasai. Polizia gehienek ezagutzen naute."
"traveler:JORJI_CRIMINAL","I have little talk with them again.","Berriro hizketalditxo bat izango dut haiekin."
"traveler:JORJI_CRIMINAL","Anyway, you have tough job.","Edonola ere, lan gogorra duzu."
"traveler:JORJI_CRIMINAL","I rather sell drugs!","Nahiago dut drogak saltzea!"
"traveler:JORJI_PASSPORTS","I read newspaper.","Irakurri dut egunkaria."
"traveler:JORJI_PASSPORTS","@Hello Jorji.","@Kaixo, Jorji."
"traveler:JORJI_PASSPORTS","Things getting little crazy in Arstotzka.","Egoera zoroa Arstotzkan."
"traveler:JORJI_PASSPORTS","Maybe you think about going away for a bit.","Agian hemendik joan nahi duzu denboraldi baterako."
"traveler:JORJI_PASSPORTS","Obristan is good place.","Obristan leku ona da."
"traveler:JORJI_PASSPORTS","Right next door up north.","Iparraldeko gure lagunak."
"traveler:JORJI_PASSPORTS","@Our passports have been confiscated.","@Pasaporteak konfiskatu dizkigute."
"traveler:JORJI_PASSPORTS","@We cannot leave.","@Ezin gara kanpora joan."
"traveler:JORJI_PASSPORTS","Hey that not good sign.","Seinale txarra."
"traveler:JORJI_PASSPORTS","Hold on.","Itxaron."
"traveler:JORJI_PASSPORTS","I know a guy.","Gizon bat ezagutzen dut."
"traveler:JORJI_PASSPORTS","Just give him real passports to work with.","Eman berari benetako pasaporteak."
"traveler:JORJI_PASSPORTS","He changes info to match for you.","Berak datuak aldatzen ditu zureekin bat etortzeko."
"traveler:JORJI_PASSPORTS","I learn that in hard way.","Modu okerrean ikasi dut hori."
"traveler:JORJI_PASSPORTS","Thanks again!","Milesker berriro!"
"traveler:JORJI_PASSPORTS","Bah! Maybe you right.","Ba! Agian arrazoi duzu."
"traveler:JORJI_PASSPORTS","Better to take little break.","Hobeto atsedenaldia hartzea."
"traveler:JORJI_PASSPORTS","Hey what the hell?","Ei, baina zer?"
"traveler:JORJI_PASSPORTS","You take my passport!","Nire pasaportea hartu duzu!"
"traveler:JORJI_PASSPORTS","You can see it was expensive!","Garesti irten zitzaidan!"
"traveler:JORJI_PASSPORTS","@You said I need real Obristan passports.","@Esan didazu benetako Obristango pasaporteak behar ditudala."
"traveler:JORJI_PASSPORTS","Man. Fine.","Gizona. Ondo da."
"traveler:JORJI_PASSPORTS","I get another but little unhappy about it.","Beste bat lortuko dut, baina ez zait gustatu egin duzuna."
"traveler:JORJI_PASSPORTS","Memorize flyer and give back.","Memorizatu oharra eta itzuli niri."
"traveler:JORJI_PASSPORTS","Hey you know what.","Ei, badakizu zer?"
"traveler:JORJI_PASSPORTS","Take my passport.","Hartu nire pasaportea"
"traveler:JORJI_PASSPORTS","I get another one no problem.","Beste bat lortuko dut, arazorik ez."
"traveler:JORJI_PASSPORTS","Now memorize flyer and give back if you finish reading.","Memorizatu oharra eta itzuli irakurtzen bukatzean."
"traveler:JORJI_PASSPORTS","Do not want to get in trouble!","Ez dut arazorik nahi!"
"traveler:JORJI_PASSPORTS","Obristan really great this time of year.","Obristan oso ederra da urte sasoi honetan."
"traveler:JORJI_PASSPORTS","Lots of snow.","Elur asko."
"traveler:JORJI_PASSPORTS","Not sure where you get more passports for family.","Ez dakit familiarentzat pasaporte gehiago non lortu."
"traveler:JORJI_PASSPORTS","But you smart guy.","Baina zu tipo azkarra zara."
"traveler:JORJI_PASSPORTS","Probably figure it out!","Asmatuko duzu zeozer!"
"traveler:JORJI_PASSPORTS","Good luck.","Zorte on."
"traveler:JORJI_GOODBYE","Ho boy! I make big score!","Jauna! Dirutza egin dut!"
"traveler:JORJI_GOODBYE","Huge! You have no idea!","Mordoa! Jakingo bazenu!"
"traveler:JORJI_GOODBYE","Anyway. I just want to say thank you.","Dena dela. Eskerrak ematera nator."
"traveler:JORJI_GOODBYE","I wait in line just for that!","Hau esateko itxaron dut ilaran!"
"traveler:JORJI_GOODBYE","Maybe I quit now.","Agian orain erretiratuko naiz."
"traveler:JORJI_GOODBYE","Haha!","Kar kar!"
"traveler:BROTHEL0","Hello handsome.","Kaixo, laztana."
"traveler:BROTHEL0","You look bored.","Aspertua dirudizu."
"traveler:BROTHEL0","If you want good time, come see us.","Ongi pasa nahi baduzu, bisita gaitzazu."
"traveler:BROTHEL0","I will be around couple months.","Inguruan ibiliko naiz hil batzuez."
"traveler:BROTHEL0","Don't forget to visit.","Ez ahaztu bisitatzea."
"traveler:BROTHEL1","Hey there.","Aupi."
"traveler:BROTHEL1","I can make you happy any time.","Nahi duzunean eguna alaituko dizut."
"traveler:BROTHEL1","Come to Pink Vice. Ask for Ava.","Zatoz Bizio Arrosara. Galdetu Avagatik."
"traveler:BROTHEL2","Oh. Here.","Oi. Tori."
"traveler:BROTHEL2","Please help me.","Lagundu, arren."
"traveler:BROTHEL3","Hello friend.","Kaixo, lagun."
"traveler:BROTHEL3","You come down, I give you good girl.","Etorri hirira, neska ona emango dizut."
"traveler:BROTHEL3","That little bitch.","Urdanga hori."
"traveler:BROTHEL3","I break her in two.","Erdibitu egingo dut."
"traveler:BROTHEL3","@You are Dari Ludum?","@Zu zara Dari Ludum?"
"traveler:BROTHEL3","Of course, it says on passport.","Noski, hori dio pasaporteak."
"traveler:BROTHEL3","@One moment.","@Unetxo bat."
"traveler:BROTHEL3","What is this shit?","Baina ze ostia?"
"traveler:BROTHEL3","Give my papers back.","Itzuli nire paperak."
"traveler:KILLERATHLETE","@You are Vince Lestrade?","@Zu zara Vince Lestrade?"
"traveler:KILLERATHLETE","Damn.","...zotz."
"traveler:KILLERATHLETE","Look, I did not kill her. I was set up.","Entzun, nik ez nuen hil. Amarru bat izan zen."
"traveler:KILLERATHLETE","Do not believe the Republian lies.","Ez sinetsi Republiako gezurrak."
"traveler:KILLERATHLETE","Let me through.","Utzi pasatzen."
"traveler:KILLERATHLETE","Shit.","Kaka."
"traveler:HUSBAND_WIFE0","Today is beautiful day, my friend.","Egun zoragarria gaurkoa, lagun."
"traveler:HUSBAND_WIFE0","We finally become free from Antegrian tyranny!","Azkenean Antegriako tiraniatik libratuko gara!"
"traveler:HUSBAND_WIFE0","Thank you so much!","Eskerrik asko!"
"traveler:HUSBAND_WIFE0","Please be kind to my wife, she is just after me.","Mesedez, ondo jokatu nire emaztearekin, hurrengo datorrena da."
"traveler:HUSBAND_WIFE0","No! They will kill us!","Ez! Hil egingo gaituzte!"
"traveler:HUSBAND_WIFE0","Please, I beg you.","Otoi, erregutzen dizut."
"traveler:HUSBAND_WIFE0","Let my wife pass. She is coming to you next.","Utzi pasatzen nire emazteari. Bera da hurrengoa."
"traveler:HUSBAND_WIFE1","Did you see my husband?","Ikusi duzu nire senarra?"
"traveler:HUSBAND_WIFE1","He made it through, yes?","Pasa da, ezta?"
"traveler:HUSBAND_WIFE1","@Where is your entry permit?","@Non da zure onarpen baimena?"
"traveler:HUSBAND_WIFE1","Please, I beg you.","Otoi, erregutzen dizut."
"traveler:HUSBAND_WIFE1","They would not give me permit. I have no choice.","Ez didate baimena eman nahi. Ez dut beste aukerarik."
"traveler:HUSBAND_WIFE1","I will be killed if I return to Antegria.","Antegriara itzultzen banaiz, hil egingo naute."
"traveler:HUSBAND_WIFE1","Thank you.","Milesker."
"traveler:HUSBAND_WIFE1","We will not forget.","Ez dugu ahantziko."
"traveler:HUSBAND_WIFE1","Why?","Zergatik?"
"traveler:HUSBAND_WIFE1","You have doomed me.","Kondenatu egin nauzu."
"traveler:HUSBAND_WIFE1","Why did you turn my husband away?","Zergatik ukatu diozu sarrera nire senarrari?"
"traveler:HUSBAND_WIFE1","I will not leave him to die.","Ez dut bakarrik hiltzen utziko."
"traveler:HUSBAND_WIFE1","You have doomed us both.","Biok kondenatu gaituzu."
"traveler:HIRING_ENGINEERS_START","You see many people, yes?","Jende asko ikusten duzu, bai?"
"traveler:HIRING_ENGINEERS_START","I am looking for engineers.","Ingeniari bila nabil."
"traveler:HIRING_ENGINEERS_START","Do me a favor.","Egin fabore bat."
"traveler:HIRING_ENGINEERS_START","Give my card to any engineers you meet.","Eman nire txartela ikusten duzun edozein ingeniariri."
"traveler:HIRING_ENGINEERS_START","I come back in few days.","Egun batzuk barru itzuliko naiz."
"traveler:HIRING_ENGINEERS_START","Pay you 5 credits for each engineer that calls me.","5 kreditu ordainduko dizkizut deitzen didan ingeniari bakoitzeko."
"traveler:HIRING_ENGINEERS_START","You make a mistake but I let you fix it.","Akats bat burutzen ari zara, baina konpontzen utziko dizut."
"traveler:HIRING_ENGINEERS","What is this?","Zer da hau?"
"traveler:HIRING_ENGINEERS","Oh. Huh. ; Huh. ; They are hiring?","Oh. Hara. ; Hara. ; Kontratatzen ari dira?"
"traveler:HIRING_ENGINEERS","I have already.","Badut dagoeneko."
"traveler:HIRING_ENGINEERS","Stop giving to me.","Ez eman berriro."
"traveler:HIRING_ENGINEERS","Forget it, take them both. I don't want.","Ahaztazu, hartu biak. Ez dut nahi."
"traveler:HIRING_ENGINEERS_END","Is good card, yes? ; Thanks ; These were not cheap you know. ;","Txartel ona, bai? ; Milesker ; Ez dira merkeak, badakizu? ;"
