Context Note (not to translate),Speaker,English,Japanese,Korean,Simplified Chinese,Russian,Italian,French,German,Portuguese,Spanish,Traditional Chinese,Polish,Norwegian,Basque,File name,Line number
,Alphonse,I wonder what they might be<nl>planning to use the Relics for..?,あの者は秘宝を<nl>何に使おうと...？,녀석들은 대체 무슨 목적으로<nl>유물을 모았단 것인가…?,我很好奇他们<nl>计划用那些圣物做什么……？,"Интересно, как они планируют<nl>использовать реликвии..?",Mi domando per cosa voglia usare le Reliquie?,Erlikiak zertarako erabiltzeko<nl>asmoa ote du ezezagunak..?,"Ich frage mich, was sie mit<nl>den Relikten vorhaben?",Imagino o que eles estão<nl>planejando fazer com as Relíquias...,¿Para qué querrán<nl>usar las Reliquias?,我很好奇他們<nl>計劃用那些聖物做什麼……？,"Zastanawiam się, do czego<nl>oni chcą wykorzystać relikwie...?",Jeg lurer på hva de skal bruke Vådestenene til..?,Erlikiak zertarako erabiltzeko<nl>asmoa ote du ezezagunak..?,OtusHouse/alphonseCheck,266
,Alphonse,Is it only for power..?,力のためか...？,단지 힘을 위해서…?,仅仅是为了力量……？,Чтобы обрести власть..?,È solo per il potere...?,Botereagatik soilik ote da..?,Geht es nur um Macht?,Será que só querem poder..?,¿Será solo por poder...?,僅僅是為了力量……？,Czy chodzi tylko o władzę...?,Er det kun for makt..?,Botereagatik soilik ote da..?,OtusHouse/alphonseCheck,266
,Alphonse,Or do the Relics serve some other purpose?,あるいはほかに目的が？,아니면 유물에 다른 용도가 있는 것인가?,还是那些圣物别有用途？,Или реликвиям есть и другое применение?,O forse è per un altro motivo?,Edo erlikiek beste egitekoren bat ote dute?,Oder dienen die Relikte noch einem anderen Zweck?,Ou será que as Relíquias servem para mais alguma coisa?,¿O las querrán para otra cosa?,還是那些聖物別有用途？,Czy może relikwie mają służyć jakiemuś innemu celowi?,Eller har Vådestenene en annen hensikt?,Edo erlikiek beste egitekoren bat ote dute?,OtusHouse/alphonseCheck,266
,Alphonse,"I'm sorry, Master Otus.",すまぬ、オータスどの。,"미안하네, 오투스 선생.",我很抱歉，Otus大师。,"Извини, господин Отус.","Mi spiace, Maestro Otus.","Sentitzen dut, Maisu Otus.","Es tut mir leid, Meister Otus!","Lamento, Mestre Otus.","Lo siento, maestro Otus...",我很抱歉，Otus大師。,"Przepraszam, paniczu Otusie.","Jeg beklager, mester Otus.","Sentitzen dut, Maisu Otus.",OtusHouse/alphonseCheck,287
,Alphonse,There is so much to think about.,考えることが山積みでな。,생각할 게 너무 많아서 말일세.,要思考的东西太多了。,Мне многое надо обдумать.,Ci sono così tante cose a cui pensare.,Hainbeste dago pentsatzeko!,Es gibt so viel zu bedenken!,Temos tanta coisa para pensar.,Hay tantas cosas en las que pensar.,要思考的東西太多了。,Tyle jest spraw do przemyślenia.,Det er mye å gruble på.,Hainbeste dago pentsatzeko!,OtusHouse/alphonseCheck,287
,Alphonse,"I am very old, and there are<nl>many memories to piece together.",老いぼれゆえ、たぐるべき<nl>記憶の糸が多すぎるのだ。,나이를 먹은 만큼<nl>맞춰 볼 기억이 많다네.,我很老了，有太多<nl>记忆需要拼凑。,"Я уже немолод, много воспоминаний<nl>нужно свести воедино.","Sono davvero vecchio, e ho così tante memorie<nl>da collegare come fossero parte di un enigma...","Zahartua nago, eta<nl>oroitzapen ugari daude elkar lotzeko.","Ich bin sehr alt und es gibt viele<nl>Erinnerungen, die ich zusammenfügen muss.",Sou muito velho e tenho muitas<nl>memórias para reorganizar.,"Estoy muy viejo, y tengo tantos<nl>recuerdos que conectar...",我很老了，有太多<nl>記憶需要拼湊。,"Jestem bardzo stary i mam tyle wspomnień,<nl>które trzeba poskładać do kupy.","Jeg er veldig gammel, og det er<nl>mange minner jeg må pusle sammen.","Zahartua nago, eta<nl>oroitzapen ugari daude elkar lotzeko.",OtusHouse/alphonseCheck,287
,Alphonse,I can't help but feel like<nl>there's something crucial I've forgotten.,何か重要なことを忘れている<nl>気がしてならん。,뭔가 결정적인 걸<nl>잊고 있다는 느낌이 계속 드는군.,我有种挥之不去的感觉，<nl>有个重要的信息被我遗忘了。,"Но меня не оставляет мысль,<nl>что я мог забыть нечто очень важное.",Continuo a pensare che ci sia qualcosa<nl>di importante che ho dimenticato.,Ezin dut burutik kendu atzetik<nl>ahaztu dudan funtsezko zerbait dagoen sentsazioa.,"Ich werde das Gefühl nicht los, dass<nl>ich etwas ganz Wichtiges vergessen habe.",Não consigo deixar de sentir<nl>que estou me esquecendo de algo importante.,No dejo de pensar que se me<nl>olvida algo importante.,我有種揮之不去的感覺，<nl>有個重要的資訊被我遺忘了。,"Mam wrażenie, że zapomniałem<nl>o czymś bardzo ważnym.",Det føles som at jeg har glemt noe avgjørende.,Ezin dut burutik kendu atzetik<nl>ahaztu dudan funtsezko zerbait dagoen sentsazioa.,OtusHouse/alphonseCheck,287
,Alphonse,There are so many memories to piece together...,たぐるべき記憶の糸が多すぎるのだ...,맞춰 봐야 할 기억이 너무나도 많다네…,太多记忆需要拼凑回忆……,Столько воспоминаний нужно свести воедино...,Così tante parti in questo enigma...,Hainbeste oroitzapen daude elkar lotzeko...,"Es gibt so viele Erinnerungen, die ich zusammenfügen muss ...",São tantas memórias para reorganizar...,Mis recuerdos son un rompecabezas...,太多記憶需要拼湊回憶……,"Tyle mam wspomnień, które trzeba poskładać do kupy...","Jeg er veldig gammel, og det er<nl>mange minner jeg må pusle sammen.",Hainbeste oroitzapen daude elkar lotzeko...,OtusHouse/alphonseCheck,306
,Alphonse,I can't help but feel like<nl>there's something crucial I've forgotten.,何か重要なことを忘れている<nl>気がしてならん。,뭔가 결정적인 걸<nl>잊고 있다는 느낌이 계속 드는군.,我有种挥之不去的感觉，<nl>有个重要的信息被我遗忘了。,"Но меня не оставляет мысль,<nl>что я мог забыть нечто очень важное.",Continuo a pensare che ci sia qualcosa<nl>di importante che ho dimenticato.,Ezin dut burutik kendu atzetik<nl>ahaztu dudan funtsezko zerbait dagoen sentsazioa.,"Ich werde das Gefühl nicht los, dass<nl>ich etwas ganz Wichtiges vergessen habe.",Não consigo deixar de sentir<nl>que estou me esquecendo de algo importante.,No dejo de pensar que se me<nl>olvida algo importante.,我有種揮之不去的感覺，<nl>有個重要的資訊被我遺忘了。,"Mam wrażenie,<nl>że zapomniałem o czymś bardzo ważnym.",Det føles som at jeg har glemt noe avgjørende.,Ezin dut burutik kendu atzetik<nl>ahaztu dudan funtsezko zerbait dagoen sentsazioa.,OtusHouse/alphonseCheck,306
,CamTarget,No-one knows what our original purpose was.,本来の目的など、もう誰も覚えてはおらぬ。,우리의 본래 목적이 무엇이었는지는 아무도 모르네.,没有人知道我们最初的目的是什么。,"Никто не знает, для чего мы предназначались",Nessuno sa per cosa fossimo stati creati in origine.,Nadie sabe para qué nos crearon originalmente.,"Niemand weiß, was unsere ursprüngliche Aufgabe war.",Ninguém sabe qual era o nosso objetivo original.,Nadie sabe para qué nos crearon originalmente.,沒有人知道我們最初的目的是什麼。,"Nikt nie wie, do czego pierwotnie zostaliśmy stworzeni.",Ingen husker hva vår opprinnelige hensikt var.,Inork ez daki zer helbururekin sortu gintuzten jatorrian.,PirateFlashback/start,29
,CamTarget,"Likely, we were merely <30>servants for the owls.",われらがフクロウの<30>奴隷にすぎなかったことも。,아마도 아울의 한낱 <30>시종에 불과했겠지.,好像，我们只是猫头鹰<30>的仆人而已。,"Может быть, мы были лишь <30>слугами сов.",Probabilmente eravamo solo<30> servi dei gufi.,Probablemente solo fuéramos los <30>sirvientes de los búhos.,Wir waren wohl einfach nur <30>Diener der Eulen.,"Provavelmente, éramos <30>servos das corujas.",Probablemente solo fuéramos los <30>sirvientes de los búhos.,好像，我們只是貓頭鷹<30>的僕人而已。,Prawdopodobnie byliśmy tylko <30>sługami sów.,Sannsynligvis var vi kun uglenes tjenere.,"Seguruenera, hontzen <30>zerbitzariak baino ez ginen.",PirateFlashback/start,35
,CamTarget,"Using our strength, the owls could reach for higher knowledge.",フクロウはわれらの力を使い、至高の知識を追いもとめた。,아울들은 우리의 힘을 이용해 지식을 더욱 쌓아올렸네.,有了我们的力量，猫头鹰就能获得更高层的知识。,"Используя наши силы, совы могли обретать все новые знания.","Affidandosi alla nostra forza, i gufi si dedicarono a raggiungere vette sempre più alte di conoscenza.","Usando nuestra fuerza, los búhos podían alcanzar mayores cotas de conocimiento.",Die Eulen konnten dank unserer Kraft nach höherem Wissen streben.,"Usando a nossa força, as corujas alcançavam conhecimentos superiores.","Usando nuestra fuerza, los búhos podían alcanzar mayores cotas de conocimiento.",有了我們的力量，貓頭鷹就能獲得更高層的知識。,"Wykorzystując naszą siłę, sowy mogły zdobyć głębszą wiedzę.","Med vår styrke, kunne uglene nå større mål enn før.","Gure indarra erabiliz, hontzek goragoko jakintza eskuratu ahal izan zuten.",PirateFlashback/start,64
,CamTarget,"They designed various models, each made for a specific function.",様々なモデルが造られ、異なる使命が与えられた。,"아울들은 각자 다른 기능을 지닌, 다양한 종류로 우릴 만들어냈네.",他们设计了各种模型，每个都有特殊的作用。,"Они создали разные модели, у каждой была своя задача.","Progettarono diversi modelli, ciascuno pensato per una funzione specifica.","Diseñaron varios modelos, cada uno creado para una función específica.","Sie entwarfen verschiedene Modelle, von denen jedes eine bestimmte Aufgabe erfüllte.","Elas criaram vários modelos, cada um para uma função específica.","Diseñaron varios modelos, cada uno creado para una función específica.",他們設計了各種模型，每個都有特殊的作用。,Zaprojektowały różne modele przeznaczone do określonych zastosowań.,"De lagde forskjellige modeller av oss, hver med sin spesifikke funksjon.","Hainbat modelo diseinatu zituzten, bakoitza zeregin zehatz baterako.",PirateFlashback/start,70
,CamTarget,We were expected to optimize.,われらは最適化を求められ...,최적의 일을 해낼 수 있도록 말일세.,他们期望我们成为最好的。,Мы должны были совершенствоваться.,Da noi ci si aspettava che fossimo in grado di ottimizzare.,Se esperaba que fuéramos capaces de optimizar.,Wir sollten alles optimieren.,Devíamos nos desenvolver.,Se esperaba que fuéramos capaces de optimizar.,他們期望我們成為最好的。,Oczekiwano od nas optymalizacji.,Vi ble laget for å forbedre oss selv.,Optimizatzeko gai izango ginela espero zen.,PirateFlashback/start,76
,CamTarget,We would constantly improve our ability to carry out our function.,役割を遂行すべく、改良を重ねていった。,우리는 서로 맡은 역할을 다할 수 있도록 거듭 발전해나갔네.,我们不断地提升自己的能力来完成我们的使命。,"Мы постоянно улучшали свои способности, чтобы лучше делать свое дело.",Miglioravamo costantemente la nostra capacità di svolgere le funzioni richieste.,Mejorábamos constantemente nuestra capacidad de realizar las funciones requeridas.,"Wir verbesserten fortwährend die Fähigkeit, unsere Aufgabe auszuüben.",Melhoraríamos as nossas habilidades em nossas respectivas funções constantemente.,Mejorábamos constantemente nuestra capacidad de realizar las funciones requeridas.,我們不斷地提升自己的能力來完成我們的使命。,Mieliśmy stale doskonalić nasze zdolności w zakresie wykonywania obowiązków.,Vi ble bedre og bedre til å utføre formålene vi ble skapt for.,"Etengabe hobetu genuen geure zeregina burutzeko gaitasuna, antza.",PirateFlashback/start,82
,CamTarget,"But as you know, <30>the ancient owls, and what remained of their cities,<30> all but vanished.",だが、知ってのとおり、<30>古代フクロウ族や<30>彼らの街はほぼ、滅び去った。,"하지만 선생들도 알다시피, <30>고대 아울들과 도시에 있던 그 흔적들이 <30>갑작스레 사라져버렸네.",但如你所知，<30>上古猫头鹰和他们城市的遗迹，<30>都消失了。,"Но как вам известно, <30>древние совы и все, что осталось от их городов,<30> однажды исчезли.","Ma, come sai, <30>gli antichi gufi, e ciò che restava delle loro città,<30> scomparvero.","Pero como sabrás, <30>los antiguos búhos, y lo que quedó de sus ciudades,<30> desaparecieron.","Doch wie ihr wisst, <30>sind die Eulen der alten Zeit und das, was von ihren Städten übrig blieb,<30> verschwunden.","Mas como você sabe, <30>as corujas antigas e o que restou das suas cidades,<30> desapareceram.","Pero como sabrás, <30>los antiguos búhos, y lo que quedó de sus ciudades,<30> desaparecieron.",但如你所知，<30>上古貓頭鷹和他們城市的遺跡，<30>都消失了。,"Ale, jak wiesz, <30>prastare sowy zniknęły z powierzchni ziemi,<30> podobnie jak ich miasta.","Men som du vet... <30>de gamle uglene, og deres byer, <30>forsvant alle som en.","Baina, ondo dakizunez, <30>antzinako hontzak, eta haien hirietatik gelditzen ziren hondarrak,<30> erabat desagertu ziren.",PirateFlashback/start,92
,CamTarget,"Without their guidance, we continued our tasks. <30>Blindly. <30>For centuries...",主を失ってもなお、われらは働きつづけた。<30>何世紀もの間、<30>一心不乱に...,그렇게 우리는 아울들의 지도 없이 일을 계속해갔네. <30>끊임없이… <30>무려 수 세기 동안 말일세.,没了他们的领导，我们依旧继续任务。<30>盲目地。<30>干了几百年……,Мы же продолжали свою работу без их руководства. <30>Слепо. <30>Веками...,"Senza la loro guida, continuammo a svolgere le nostre funzioni. <30>Ciecamente. <30>Per secoli...","Aun así, seguimos llevando a cabo nuestras funciones. <30>Ciegamente. <30>Durante siglos...",Führungslos sind wir unseren Aufgaben weiterhin nachgegangen. <30>Unbedacht. <30>Jahrhundertelang ...,"Sem a orientação delas, continuamos as nossas tarefas. <30>Cegamente. <30>Durante séculos...","Aun así, seguimos llevando a cabo nuestras funciones. <30>Ciegamente. <30>Durante siglos...",沒了他們的領導，我們依舊繼續任務。<30>盲目地。<30>幹了幾百年……,"My jednak nadal wypełnialiśmy nasze zadania, już bez nadzoru sów. <30>Ślepo. <30>Przez wieki...","Uten uglene, fortsatte vi oppgavene våre. <30>Blindt. <30>I århundrer...","Haien gidaritzarik gabe, gure zereginetan jarraitu genuen. <30>Itsu-itsuan. <30>Mendez mende...",PirateFlashback/start,98
,CamTarget,"Molstrom, greatest among the war units,<30> rampaged.",やがて最強の機械兵モルストロムが<30>反旗をひるがえした。,"그러던 어느날, 전투용 유닛 중 가장 강력했던 몰스트롬이 <30>광분했다네.",Molstrom，战争单位最强武器，<30>暴走级别。,"Мольстром, величайшая из военных машин,<30> восстал.","Fin quando Molstrom, la più potente delle unità da guerra,<30> scatenò la sua furia.","Hasta que Molstrom, una de las unidades de guerra más poderosas, <30>desencadenó su furia.","Molstrom, der mächtigste Krieger,<30> tobte.","Molstrom, o maior entre as unidades de guerra,<30> liberou sua fúria.","Hasta que Molstrom, una de las unidades de guerra más poderosas, <30>desencadenó su furia.",Molstrom，戰爭單位最強武器，<30>暴走等級。,"Molstrom, największy spośród wojowników,<30> siał zniszczenie.","Malstrøm, den mektigste krigsmaskinen, <30>gikk amok.","Molstromek, gerra-unitateetan boteretsuenak,<30> bere amorrua askatu zuen.",PirateFlashback/start,133
,CamTarget,"Built for war, he always needs something to destroy.",戦争のために造られたヤツは、破壊にうえていた。,"녀석은 전쟁을 위해 만들어진 탓에, 항상 파괴를 갈구했었지.",他是为战争而建造的，充满了毁灭欲。,"Он был создан для битв, и ему постоянно нужна цель, противник.","Progettato per combattere, aveva sempre bisogno di qualcosa da distruggere.","Creado para luchar, siempre necesita algo que destruir.","Stets muss er etwas zerstören, ist er doch für den Krieg geschaffen.","Construído para a guerra, ele sempre precisou de algo para destruir.","Creado para luchar, siempre necesita algo que destruir.",他是為戰爭而建造的，充滿了毀滅欲。,Został stworzony do wojny i zawsze musi coś niszczyć.,"Han ble bygd for krig, og trenger alltid noe å ødelegge.","Borrokarako sortu zutenez, beti dabil suntsitzeko zerbaiten bila.",PirateFlashback/start,139
,CamTarget,None could oppose him.,あらがえる者はなく...,아무도 몰스트롬에게 반대할 수 없었네.,没人能够对抗他。,Никто не мог противостоять ему.,Nessuno fu in grado di opporglisi.,Nadie fue capaz de enfrentarse a él.,Niemand konnte sich ihm entgegensetzen.,Ninguém conseguia enfrentá-lo.,Nadie fue capaz de enfrentarse a él.,沒人能夠對抗他。,Nikt nie może mu się przeciwstawić.,Ingenting kunne stoppe ham.,Ez zegoen aurre egingo zionik.,PirateFlashback/start,145
,CamTarget,Those of us who didn't agree to follow him <20>were exterminated.,服従をこばむ者は皆、<20>破壊された。,그를 따르지 않겠다고 한 녀석들은 <20>모조리 말살당했어.,那些反对他命令的人都<20>被消灭了。,"Те из нас, кто не согласился последовать за ним, <20>были уничтожены.",Quelli di noi che non accettarono di seguirlo <20>furono sterminati.,Los que no aceptaron seguirlo fueron <20>exterminados.,"Diejenigen von uns, die ihm nicht folgen wollten, <20>wurden ausgelöscht.",Aqueles que não concordavam com ele <20>foram exterminados.,Los que no aceptaron seguirlo fueron <20>exterminados.,那些反對他命令的人都<20>被消滅了。,"Ci z nas, którzy nie zgodzili się pójść za nim, <20>zostali zniszczeni.","De av oss som gjorde motstand, <30>ble utryddet.",Bera ez jarraitzea erabaki zutenak <20>garbitu egin zituen.,PirateFlashback/start,151
,CamTarget,"Molstrom took us to the sky, and gave us a new name:",モルストロムは空へと向かい、われらに新たな名をさずけた...,"몰스트롬은 우리를 하늘로 이끌고는, 새로운 이름을 선사해주었네.",Molstrom把我们带向了天空，给了我们新的称号：,Мольстром повел нас в небо и дал нам новое имя.,"Molstrom fece dei cieli la nostra casa, e ci diede un nuovo nome:",Molstrom nos llevó a los cielos y nos dio un nombre:,Molstrom nahm uns mit in den Himmel und gab uns einen neuen Namen:,Molstrom levou-nos para o céu e nos deu um nome:,Molstrom nos llevó a los cielos y nos dio un nombre:,Molstrom把我們帶向了天空，給了我們新的稱號：,Molstrom zabrał nas w przestworza i nazwał,"Malstrøm tok oss til himmelen, og gav oss ett nytt navn:","Molstromek zeruetara eraman ginduen, eta izen berri bat eman zigun:",PirateFlashback/start,187
,CamTarget,P<3>i<3>r<3>a<3>t<3>e<3>s.,海<3>賊<3>と。,"그것은 바로, <3>해<3>적<3>.",海<3>盗。,П<3>и<3>р<3>а<3>т<3>ы.,P<3>i<3>r<3>a<3>t<3>i.,p<3>i<3>r<3>a<3>t<3>a<3>s.,P<3>i<3>r<3>a<3>t<3>e<3>n.,P<3>i<3>r<3>a<3>t<3>a<3>s.,p<3>i<3>r<3>a<3>t<3>a<3>s.,海<3>盜。,p<3>i<3>r<3>a<3>t<3>a<3>m<3>i.,P<3>i<3>r<3>a<3>t<3>e<3>r.,P<3>i<3>r<3>a<3>t<3>a<3>k.,PirateFlashback/start,195
,CamTarget,"With him as our Captain, we roamed the sky, growing ever more powerful.",新たな船長のもと、われらは力をつけながら大空を駆けめぐった。,"우리는 몰스트롬을 선장으로 모시며, 하늘을 배회해, 점점 강력해져 갔네.",有了他做我们的船长，我们在天空四处征战，越来越强大。,"Он стал нашим капитаном, и под его началом мы странствовали по небу, становясь все сильней.","Seguendo la sua guida, vagabondammo per i cieli, diventando sempre più potenti.","Bajo sus órdenes, recorrimos el cielo, y cada vez éramos más poderosos.",Mit ihm als Kapitän durchstreiften wir den Himmel und unsere Macht wuchs.,"Com ele como nosso Capitão, navegamos os céus, ficando cada vez mais poderosos.","Bajo sus órdenes, recorrimos el cielo, y cada vez éramos más poderosos.",有了他做我們的船長，我們在天空四處征戰，越來越強大。,"Był naszym Kapitanem i wspólnie przemierzaliśmy nieboskłon, stając się coraz potężniejsi.","Med ham som vår kaptein, seilte vi over himmelen og ble mektigere.","Bere agindupean, zeruko punta batetik bestera ibili ginen, gero eta boteretsuago eginez.",PirateFlashback/start,201
,CamTarget,Until at last the Captain heard of the Relics.,やがて船長は秘宝のことを知った。,선장이 유물에 관한 소문을 듣기 전까지는 말일세.,直到最后，船长听说了圣物的消息。,Пока однажды капитан не узнал о реликвиях.,Fin quando il nostro Capitano non sentì parlare delle Reliquie.,Hasta que al final el capitán oyó hablar de las Reliquias.,Bis der Kapitän schließlich von den Relikten hörte.,Até que finalmente o Capitão ouviu falar das Relíquias.,Hasta que al final el capitán oyó hablar de las Reliquias.,直到最後，船長聽說了聖物的訊息。,Aż w końcu Kapitan usłyszał o relikwiach.,Helt til kapteinen hørte om Vådestenene.,Kapitainak Erlikien berri izan zuen arte.,PirateFlashback/start,207
,CamTarget,The Relics are artifacts of terrible power. <30>Remnants of the ancient owls at their peak.,秘宝とは、<30>古代フクロウ族の繁栄のなごり。恐るべき力を秘めた遺物なのだ。,유물은 끔찍한 힘을 지닌 조각일세. <30>고대 아울들이 전성기에 만들어냈던 물건들의 잔해지.,圣物是强大力量的制品。<30>残留着上古猫头鹰的巅峰力量。,"Реликвии — это артефакты, обладающие потрясающей силой. <30>Последние плоды золотого века сов.",Le Reliquie sono artefatti dal potere terrificante. <30>Resti della grandezza degli antichi gufi.,Las Reliquias son artefactos de un poder monumental. <30>Restos de la grandeza de los antiguos búhos.,Die Relikte sind Artefakte von schrecklicher Macht. <30>Überreste der Eulen der alten Zeit an ihrem Höhepunkt.,As Relíquias são artefatos com um poder terrível. <30>Vestígios de quando as corujas antigas estavam no seu auge.,Las Reliquias son artefactos de un poder monumental. <30>Restos de la grandeza de los antiguos búhos.,聖物是強大力量的製品。<30>殘留著上古貓頭鷹的巔峰力量。,Relikwie są artefaktami o przerażającej mocy. <30>To pamiątki po starożytnych sowach u szczytu ich potęgi.,Vådestenene er gjenstander med forferdelig makt. <30>Gjenstander fra en svunnen tid.,Erlikiak botere izugarridun artefaktuak dira. <30>Antzinako hontzen arorik oparoenaren ondarea.,PirateFlashback/start,236
,CamTarget,"To Molstrom, their power is irresistible.",モルストロムはその力に魅了され...,몰스트롬은 그 힘에 사로잡혔어.,对Molstrom来说，它们的力量是无法抗拒的。,Мольстрома влечет их сила.,"Per Molstrom, il loro potere è irresistibile.","Para Molstrom, su poder es irresistible.",Für Molstrom ist ihre Macht unwiderstehlich.,"Para o Molstrom, tal poder é irresistível.","Para Molstrom, su poder es irresistible.",對Molstrom來說，它們的力量是無法抗拒的。,Molstrom nie mógł oprzeć się ich mocy.,For Molstrom er makten deres uimotståelig.,"Molstromentzat, haien boterea erakargarriegia da. Ezin dio tentazioari eutsi.",PirateFlashback/start,244
,CamTarget,Captain Molstrom has found two Relics.,2つの秘宝を手に入れた。,지금 몰스트롬 선장은 유물 두 개를 찾아낸 상태일세.,Molstrom船长找到了两件圣物。,Капитан Мольстром нашел две реликвии.,E il Capitano Molstrom ne ha trovate due.,El capitán Molstrom ha encontrado dos Reliquias.,Kapitän Molstrom hat zwei Relikte gefunden.,O Capitão Molstrom já encontrou duas Relíquias.,El capitán Molstrom ha encontrado dos Reliquias.,Molstrom船長找到了兩件聖物。,Kapitan znalazł dwie relikwie.,Kaptein Malstrøm har funnet to av dem.,Molstrom kapitainak bi erlikia aurkitu ditu.,PirateFlashback/start,252
,CamTarget,One that was hidden in Vellie...,1つはこのヴェリーで...,하나는 벨리에 숨겨져 있었고…,一件藏在Vellie……,Одна из них была спрятана в Веллье...,Quella nascosta a Vellie...,Una que estaba escondida en Vellie...,"Eines, das in Vellie verborgen war ...",Uma escondida em Vellie...,Una que estaba escondida en Vellie...,一件藏在Vellie……,Jedna była ukryta w Vellie...,Den første var gjemt i Vellie...,"Vellien ezkutaturik zegoena, bata...",PirateFlashback/start,260
,CamTarget,And the other in Advent.,もう1つはアドヴェントでな。,다른 하나는 어드벤트에 있었지.,另一件藏在Advent。,Другая — в Адвенте.,E l'altra ad Advent.,Y otra en Adviento.,Und das andere in Advent.,E a outra em Advent.,Y otra en Adviento.,另一件藏在Advent。,A druga w Advent.,Den andre i Advent.,"Eta Abendukoa, bestea.",PirateFlashback/start,266
,DarkFigure,The Floating Continent.,浮遊大陸。,천공의 대륙.,漂浮大陆。,Парящий континент.,Il Continente Sospeso.,El Continente Flotante.,Der schwebende Kontinent.,O Continente Flutuante.,El Continente Flotante.,漂浮大陸。,Dryfujący Kontynent.,Det Svevende Kontinent.,Kontinente Hegalaria.,Dungeon2Entrance/darkFigure,48
,DarkFigure,Greatest of the owl homes.,フクロウ族の壮麗なる都。,아울의 위대한 고향이다.,猫头鹰家园的巅峰。,Самое грандиозное обиталище сов.,La più grande patria dei gufi.,La mayor patria de los búhos.,Das großartigste Zuhause der Eulen.,A maior das casas das corujas.,La mayor patria de los búhos.,貓頭鷹家園的巔峰。,Najwspanialszy z sowich domów.,Det største av uglenes hjem.,Hontzen aberrietan handiena.,Dungeon2Entrance/darkFigure,48
,DarkFigure,The machines produced here were the<nl>finest the world has ever seen.,この地で造られた機械は<nl>せいちの極みにあった。,한때 이곳은 세상에서 가장 뛰어난<nl>기계들이 만들어지는 곳이었다.,这里生产的机器是<nl>世界上最好的。,"Машины, созданные там, были самыми<nl>поразительными в мире.",Le macchine prodotte qui erano le più straordinarie<nl>che il mondo avesse mai visto.,Las máquinas creadas aquí eran las<nl>mejores que el mundo ha conocido.,"Die Maschinen, die hier produziert wurden,<nl>waren die besten auf der ganzen Welt.",As máquinas produzidas aqui eram<nl>as melhores do mundo.,Las máquinas creadas aquí eran las<nl>mejores que el mundo ha conocido.,這裡生產的機器是<nl>世界上最好的。,Konstruowano tu<nl>najwspanialsze maszyny na świecie.,Maskinene som ble laget her<nl>var de beste verden hadde sett.,Hemen ekoitzitako makinak<nl>munduak inoiz ikusi dituen bikainenak ziren.,Dungeon2Entrance/darkFigure,48
,DarkFigure,"For the first time, owl technology<nl>surpassed the capabilities of life itself.",歴史上初めて、フクロウの技術が<nl>生命そのものの可能性を超えたのだ。,"아울의 기술은 처음으로<nl>생명체로서의 한계를 뛰어넘게 되었고,",有史以来第一次，猫头鹰科技<nl>超越了生命本身的局限。,Там впервые технологии сов<nl>превзошли возможности природы.,"Per la prima volta, la tecnologia dei gufi<nl>aveva superato le potenzialità della vita stessa.","Por primera vez, nuestra tecnología<nl>superaba las capacidades de la propia vida.",Die Eulentechnologie konnte erstmals die Möglichkeiten<nl>des Lebens selbst übertreffen.,"Pela primeira vez, a tecnologia das corujas tinha<nl>ultrapassou as capacidades da própria vida.","Por primera vez, nuestra tecnología<nl>superaba las capacidades de la propia vida.",有史以來第一次，貓頭鷹科技<nl>超越了生命本身的局限。,Po raz pierwszy technologia sów<nl>prześcignęła możliwości i potencjał istot żywych.,For første gang ble uglenes<nl>teknologi mer avansert enn selve livet.,"Historian lehenengoz, hontzen teknologiak<nl>bizitzaren gaitasunak gainditu zituen.",Dungeon2Entrance/darkFigure,48
,DarkFigure,There seemed to be no end to the<nl>heights the owls could reach.,フクロウの進化に<nl>終わりは見えなかった。,"한계가 없다는 듯,<nl>나날이 발전해가고 있었다.",猫头鹰所能到达的<nl>高度似乎永无止境。,"Казалось, нет предела высотам,<nl>которые открылись для сов.",Sembrava non esistessero limiti che i gufi<nl>non fossero in grado di superare.,Nada parecía poner freno a las<nl>cotas que los búhos podían alcanzar.,Die Eulen erreichten stets neue Meilensteine – und<nl>ein Ende schien nicht in Sicht zu sein.,Parecia que não existiam limites para o que<nl>as corujas conseguiriam alcançar.,Nada parecía poner freno a las<nl>cotas que los búhos podían alcanzar.,貓頭鷹所能到達的<nl>高度似乎永無止境。,"Wydawało się, że sowy<nl>są w stanie osiągnąć absolutnie wszystko.",Det var ingen grense for hvor høyt uglene kunne nå.,Bazirudien hontzen lorpenek<nl>ez zeukatela mugarik.,Dungeon2Entrance/darkFigure,48
,DarkFigure,So says the book of Noctae.,と、ノクタイの書は伝えている。,녹태의 서에 다음과 같이 기록되어 있다.,Noctae之书是这么说的。,Так говорится в книге Ноктая.,Così è scritto nel libro di Noctae.,Así dice el libro de Noctae.,So steht es im Buch von Noctae geschrieben.,Assim está escrito no livro de Noctae.,Así dice el libro de Noctae.,Noctae之書是這麼說的。,Tak mówi księga Noctaego.,Så sier Noktaes bok.,Hori dio Noctae Liburuak.,Dungeon2Entrance/darkFigure,48
